Index,Interaction_Value
0,0.6674338866025015
1,0.16716909157887555
2,-0.9170911569704611
3,0.7173378448980363
4,0.21419019162824415
5,0.01894232837482171
6,-0.16053442570327828
7,-0.3943892825269074
8,-0.06602523847557469
9,0.439212359279963
10,0.16140190019875422
11,-1.0065900875594123
12,-0.15112690508728993
13,-0.03336607352304984
14,-0.15573682934620192
15,-0.04995228092636983
16,-1.0951096478736337
17,-0.051358975727237174
18,0.40547365225043763
19,0.3250037405506579
20,0.07519512425051851
21,-1.5849319923731109
22,-0.6495605396365265
23,-1.1069248861595715
24,-1.3949765549620072
25,-0.33336391338496485
26,-0.7927534943244332
27,-1.3906186313798594
28,-1.6055861663413293
29,-0.40768521002407326
30,-0.7053410758795065
31,-0.18855493477667642
32,0.12065496189424375
33,-1.261523132757763
34,-0.3768399592940895
35,-0.18611683596935266
36,-0.9446776008554411
37,-1.6394805965710584
38,-1.7269850989579976
39,-0.5986355333834472
40,-0.7560016149731082
41,-0.7745223597861058
42,0.1105061796095428
43,-1.3110488381664402
44,-0.47930084252973976
45,-0.355451457550341
46,-0.8517813225867906
47,-0.9045169638154036
48,0.03337029503303421
49,-1.4870043661871009
50,-0.5918631900399401
51,-0.4206799420704769
52,-0.8745199326194295
53,-0.19071285703651025
54,0.12559553116076333
55,-0.4003152065726642
56,-0.3566604808228077
57,0.125062398538348
58,0.11570536399701045
59,0.059608982679150435
60,-0.05566416154736824
61,-0.15076608945628608
62,-0.11990611653091454
63,0.25941081321960646
64,0.20961614867257333
65,0.16753380569656934
66,-0.27065748664754874
67,-0.44134158664852435
68,-0.31688882549324504
69,0.09763737949527798
70,0.13084571314267576
71,-0.02639112721901049
72,-0.0132009801631153
73,0.09690524818247037
74,-0.1794329750808834
75,0.22154565736756335
76,-0.24484094642543264
77,-0.44492048171439835
78,-0.14605405505683652
79,0.03945709700238838
80,0.03636792671563632
81,0.047370043638662554
82,-0.18511244084973993
83,0.18234037286787907
84,-0.13262931033017514
85,0.1827210509678558
86,-0.3436070452726445
87,0.07269384373043
88,-0.32249555669762675
89,0.11098629680921239
90,0.07725596822851934
