noise_level,phi_correlation
0.05,0.9995518641718636
0.05,0.9996900409416478
0.05,0.9992520931459367
0.05,0.9995258315732496
0.05,0.9996059502823799
0.05,0.999728459748499
0.05,0.9997885096435049
0.05,0.9995406271997858
0.05,0.9989240149688627
0.05,0.9991631592492713
0.1,0.9988500272472816
0.1,0.9975561840626062
0.1,0.9983466455819864
0.1,0.9967628443962943
0.1,0.9964598716556194
0.1,0.996061563813319
0.1,0.9958065073168257
0.1,0.9985603905303814
0.1,0.9992648805494991
0.1,0.9980970449620681
0.2,0.988200237609232
0.2,0.9986761464622131
0.2,0.9975197992138294
0.2,0.9765668554153503
0.2,0.9942573586355987
0.2,0.9954949098557627
0.2,0.9950636970642556
0.2,0.985572132135659
0.2,0.9887703839564409
0.2,0.9951880881459406
0.3,0.9577496323006425
0.3,0.9944631318479664
0.3,0.9937167741171911
0.3,0.9806827929267309
0.3,0.9814252009566683
0.3,0.9590347001368004
0.3,0.985574805093134
0.3,0.9897239271376835
0.3,0.9950690047934638
0.3,0.9944205401308795
