,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,shapley_stability,order2_stability,order3_stability,order4_stability,order5_stability,order6_stability,order7_stability
1,1,8,0.003000020980834961,0.9250764525993884,,,,,0.992942665724408,,,,,,
2,2,29,0.005767822265625,0.9250764525993884,,,,,0.9919580473071319,0.9513450670441317,,,,,
3,3,64,0.01099848747253418,0.922782874617737,,,,,0.9905262943806744,0.9149129222035604,0.9760500099584256,,,,
4,4,99,0.01622319221496582,0.922782874617737,,,,,0.98951820980129,0.9237716056056253,0.9772730301986818,0.9241604980716622,,,
5,5,120,0.023319482803344727,0.9220183486238532,,,,,0.990947972509736,0.9103561689051327,0.9764394200199031,0.9174122521902947,0.9767257384229264,,
6,6,127,0.027679920196533203,0.922782874617737,,,,,0.9914163861685792,0.9129440612601544,0.9767572484193271,0.9177755703562742,0.9790092439765333,0.9304746103884598,
7,7,128,0.029002666473388672,0.922782874617737,,,,,0.9913211780919358,0.9227166806682525,0.9764615414167037,0.9224273571468994,0.9756716694413153,0.9336357239623075,
