dataset,accuracy_eff,noise_eff
banknotes,0.7067270923753284,0.6192318242487747
dados_covid_sbpo_atual,0.259280673619821,0.2617728449823312
diabetes,0.3216651848968878,0.30269518681322516
mammographic,0.5719814599769195,0.5752813530152479
pure_pairwise_interaction,0.13287322433469234,0.13040978271443507
raisin,0.406472225625911,0.47068414794825253
rice,0.4390536556062859,0.40386402623320633
skin,0.8502741537276025,0.7037223240408702
transfusion,0.5145469181329145,0.5015734482836252
triplet_interaction,0.11445932231448153,0.11889000575891306
