,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,shapley_stability,order2_stability,order3_stability,order4_stability
1,1,5,0.0010445117950439453,0.7076023391812866,,,,,0.9981341312579085,,,
2,2,11,0.0010056495666503906,0.7105263157894737,,,,,0.9953491222126961,0.9863171870256426,,
3,3,15,0.002000570297241211,0.7076023391812866,,,,,0.9969389195483054,0.9865232935355973,0.9413303729011561,
4,4,16,0.001998424530029297,0.7076023391812866,,,,,0.9966651540466438,0.9828367373859795,0.9341188805121218,
