noise_level,phi_correlation,order2_correlation,order3_correlation
0.05,0.9998109402446097,0.9991437270973054,0.9898553874872213
0.05,0.9999731821473575,0.9997452337558831,0.9974116915826563
0.05,0.999968136874236,0.9997293899016433,0.9981639904313027
0.05,0.9993650898147555,0.999372305952376,0.9965060949569401
0.05,0.999897185448942,0.9984625524860787,0.9924783665103728
0.05,0.999284286115524,0.9966422459571932,0.9998750462874691
0.05,0.9998953391375379,0.9989710045936385,0.9934168267873291
0.05,0.999846793184559,0.9988060925387892,0.9820020225806494
0.05,0.9998868451803905,0.9975659351843974,0.9849910512632049
0.05,0.9997650927858497,0.9977214632970742,0.9924537636479694
0.1,0.9992581118036252,0.9931677014817971,0.9380674378831849
0.1,0.9980583202497777,0.9973450113660851,0.997046912814392
0.1,0.9986980222549007,0.995727568573789,0.9925441256639542
0.1,0.9985758632743075,0.9942992470004917,0.9756576328975605
0.1,0.999899271417077,0.9967900644217955,0.9754810068754023
0.1,0.997962873249808,0.9905969001382757,0.9962498257517274
0.1,0.9994025526464476,0.9990654382802083,0.9745792452002866
0.1,0.9987692576914238,0.9933183396883855,0.9975710309503588
0.1,0.9999780441822954,0.996623799573134,0.9970029463082095
0.1,0.999174379094267,0.9967537920020786,0.9911866856067264
0.2,0.9963545882827979,0.9932648628947358,0.955391466903978
0.2,0.999772180159343,0.989921169505824,0.8277177779590754
0.2,0.9961419397635685,0.9894303115543767,0.9554317156623992
0.2,0.9981288566557417,0.9914785911580279,0.9440283913636052
0.2,0.9992707659211454,0.9839919057042191,0.9585529353879636
0.2,0.9903078046248006,0.9876301993159198,0.8971307304903289
0.2,0.9972203235697816,0.9948619762553182,0.9648606253405203
0.2,0.9958801431006773,0.9738312381780654,0.8302553146321529
0.2,0.9986583770590789,0.9901091825259658,0.9974627752737192
0.2,0.9967564413112242,0.9884542646974825,0.9550715423722467
0.3,0.994821820852204,0.9875482645173411,0.7419219985902638
0.3,0.9980919832613748,0.9812768568476637,0.9737543453891904
0.3,0.993256809064996,0.9331042399327801,0.8141673209176655
0.3,0.9944296130789182,0.9867755948000864,0.9012482102297384
0.3,0.990483115203405,0.993195311112571,0.8285099155139526
0.3,0.9865744510727175,0.9568456463519119,0.8774868624551643
0.3,0.9944432569446812,0.9327445629896156,0.9690922083107698
0.3,0.9781688878419014,0.9802171210652245,0.9096085821860513
0.3,0.9960619222111464,0.9343209458052745,0.7748505589223785
0.3,0.9952639151550198,0.9520816829210687,0.8141305466581616
