noise_level,phi_correlation,order2_correlation
0.05,0.9993821881191187,0.9977621799520546
0.05,0.9994813476156531,0.9992117020893455
0.05,0.9994146256172092,0.9962578553896336
0.05,0.9995221460462081,0.9981449334923453
0.05,0.9996988955650015,0.998782753411592
0.05,0.9995142672449444,0.9991980809768636
0.05,0.99997408878712,0.9984904363308658
0.05,0.9999643174456769,0.9991888090873448
0.05,0.9995566869937342,0.9985455061955643
0.05,0.9999720793063858,0.9994088181614417
0.1,0.9994622812095255,0.9966436256296723
0.1,0.99755470144631,0.991470007365608
0.1,0.9996501778539638,0.9944149587169354
0.1,0.9963359535729098,0.9924813211154063
0.1,0.9979357669349765,0.9878868269483041
0.1,0.9997175730750097,0.9978304874533909
0.1,0.9994099638584558,0.9964001622026635
0.1,0.9996840898224957,0.9985997323345855
0.1,0.9990069687234125,0.9996399255232385
0.1,0.9983385390726309,0.9941040143940353
0.2,0.9951112066691136,0.9776244904240581
0.2,0.996425915133512,0.9547232494677187
0.2,0.9993022888593762,0.9971074213989708
0.2,0.9976433913086405,0.9872264143623238
0.2,0.9955555898959711,0.9750475090633607
0.2,0.9940090594912777,0.9820309008480173
0.2,0.9973577588341002,0.9794991351192521
0.2,0.9983986235181548,0.9966892242216933
0.2,0.9879501261845324,0.9766969628153529
0.2,0.9948124284835352,0.9923693912413334
0.3,0.9965005828266481,0.9383979774667531
0.3,0.9458034113234625,0.9277689854370801
0.3,0.9945443931493426,0.9853178256079574
0.3,0.9965584828972693,0.9815354640593444
0.3,0.969667846428428,0.9290789393561436
0.3,0.9974988419643323,0.9764232598355371
0.3,0.9838802071742586,0.9904556651643599
0.3,0.9992852904999079,0.9919670010833588
0.3,0.9968668295261645,0.9822969154972946
0.3,0.9932159560290754,0.9959686117849091
