noise_level,phi_correlation
0.05,0.99997675955314
0.05,0.9999964921617432
0.05,0.9991752260403566
0.05,0.9998769943707942
0.05,0.9999292396022124
0.05,0.9999216430826674
0.05,0.9999950623732684
0.05,0.9998814378178078
0.05,0.999980034138495
0.05,0.9996069369608005
0.1,0.9991882732803381
0.1,0.9997241870470965
0.1,0.9998090879783295
0.1,0.9997228466890146
0.1,0.999416438946639
0.1,0.9996313069296837
0.1,0.9991914982624256
0.1,0.9998947711245205
0.1,0.9999910397825803
0.1,0.9999099350069502
0.2,0.9964296618837873
0.2,0.9991389673950347
0.2,0.9998286427994499
0.2,0.9991378571377666
0.2,0.9983338541731609
0.2,0.9993881562275859
0.2,0.9940624823840888
0.2,0.9976989029826155
0.2,0.9893209152535212
0.2,0.9966904934916346
0.3,0.9988201053685826
0.3,0.9941236756259988
0.3,0.997417926945241
0.3,0.9958048590880747
0.3,0.9972748782543668
0.3,0.9876767333756651
0.3,0.9997264637319241
0.3,0.9978137016959422
0.3,0.9934630482752094
0.3,0.9983947130778263
