,k_value,n_params,train_time,baseline_accuracy,noise_0.1,noise_0.2,noise_0.3
1,1,10,0.3408324718475342,0.541625371655104,0.5591369977891286,0.57139589845239,0.5733246931462986
2,2,46,0.7516903877258301,0.5880536708088739,0.5928184798353282,0.608424182358771,0.6113135625524129
3,3,130,1.602583646774292,0.6422200198216056,0.6418998246550279,0.6457421666539604,0.6463978043760006
4,4,256,3.1394994258880615,0.6773652512007319,0.67690020583975,0.6759396203400168,0.6716703514523138
5,5,382,4.43207573890686,0.6918883891133644,0.6910192879469392,0.6884729740032018,0.6828848059769765
6,6,466,5.425870656967163,0.6957002363345277,0.6946329191126019,0.6915148280856903,0.6835938095601128
7,7,502,5.961054801940918,0.6952046961957765,0.694213615918274,0.6908820614469772,0.6847526111153466
8,8,511,5.911492586135864,0.6952428146679881,0.6948921247236411,0.6923153160021347,0.6873446672257376
9,9,512,6.0654730796813965,0.6953190516124114,0.6946100480292751,0.6912632461690935,0.6851566669207898
