,k_value,n_params,train_time,baseline_accuracy,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,0.0032110214233398438,0.49,0.4866666666666667,0.48266666666666663,0.48533333333333334,0.4830833333333333,0.036261109408780585
2,2,121,0.06366086006164551,0.74,0.7446666666666666,0.7366666666666666,0.72,0.7384166666666668,0.022240634733148534
3,3,576,1.2969379425048828,0.7366666666666667,0.7346666666666667,0.7366666666666666,0.7180000000000001,0.7329166666666667,0.028139656674838403
4,4,1941,4.552955150604248,0.7366666666666667,0.7386666666666668,0.744,0.7180000000000001,0.7373333333333334,0.023643180835073777
5,5,4944,17.744028329849243,0.7333333333333333,0.7453333333333333,0.7406666666666667,0.7193333333333334,0.7285,0.025811280910141253
6,6,9949,36.41435670852661,0.73,0.7493333333333334,0.7453333333333333,0.7306666666666667,0.7277499999999998,0.02789626119910854
7,7,16384,64.10751962661743,0.7233333333333334,0.7413333333333334,0.7233333333333334,0.7313333333333333,0.7239166666666667,0.025328535729927663
8,8,22819,97.078364610672,0.7233333333333334,0.7346666666666667,0.7426666666666667,0.7086666666666667,0.7210833333333333,0.03301314973696928
9,9,27824,124.31320977210999,0.73,0.7406666666666666,0.7266666666666668,0.7173333333333334,0.7360833333333333,0.029983907721012976
10,10,30827,151.09323120117188,0.73,0.7280000000000001,0.7253333333333332,0.7233333333333333,0.7333333333333333,0.03132491021535417
11,11,32192,170.98955273628235,0.73,0.7366666666666666,0.7333333333333334,0.712,0.73125,0.03108288650259711
12,12,32647,182.17421174049377,0.7266666666666667,0.732,0.736,0.7160000000000001,0.7286666666666668,0.025462936026921776
13,13,32752,190.16425824165344,0.7266666666666667,0.7386666666666667,0.744,0.7220000000000001,0.7298333333333333,0.03230024079717605
14,14,32767,197.84075498580933,0.7266666666666667,0.7406666666666666,0.7426666666666667,0.726,0.72275,0.02681223290465256
15,15,32768,191.96089673042297,0.7266666666666667,0.7346666666666667,0.732,0.7293333333333334,0.7278333333333333,0.026252513107214024
