dataset,accuracy_eff,noise_eff,stab_eff
banknotes,0.8304820237218405,0.8304820237218405,0.8304820237218405
dados_covid_sbpo_atual,0.256545944966143,0.25469719333904245,0.36813971939439394
diabetes,0.34256071204023203,0.3155547172868547,0.4848621331812766
mammographic,0.612106119328449,0.6079861742945076,0.7358693985909636
raisin,0.547036472640155,0.39832588509399147,0.4802115542080451
rice,0.7369526926133515,0.433918102138733,0.6241797888045952
skin,0.8502741537276025,0.8500508563331513,0.8502741537276025
transfusion,0.5373740336563902,0.5065933660312512,0.6961529124516301
