noise_level,phi_correlation,interaction_correlation
0.05,0.9982728789554945,0.9937006131455374
0.05,0.9975013036756852,0.9941401167843175
0.05,0.9982323158920435,0.9985486286289729
0.05,0.9943349951983841,0.9971240164736277
0.05,0.9962156614265947,0.9867845272841035
0.05,0.9954120032949251,0.9936710352342537
0.05,0.9964182852401763,0.9872777849867652
0.05,0.9946537582836777,0.9941028770846275
0.05,0.9968827267387332,0.9859627194448979
0.05,0.9981931229875753,0.9968774167175225
0.1,0.9875862224148174,0.9726992024164735
0.1,0.9847959241174478,0.9544034064198513
0.1,0.9881858224057685,0.9247703924450612
0.1,0.9804184958749912,0.9559117720867053
0.1,0.9880181315294019,0.9841963740514565
0.1,0.9792635537086157,0.9587383875635687
0.1,0.9920771964226426,0.9789879311203146
0.1,0.9886216159872786,0.9814385315392863
0.1,0.9888450737131932,0.9735193989607629
0.1,0.9871045669023895,0.9790316497335338
0.2,0.9642962209660088,0.9429193330650791
0.2,0.9682376255334827,0.9541601573101685
0.2,0.9593966511715539,0.7847412013633125
0.2,0.9581807157572896,0.8423073437510102
0.2,0.940159474100535,0.9380421907187322
0.2,0.9682123143077273,0.8959284663744012
0.2,0.9675561021473139,0.9130425838123643
0.2,0.9664132136671404,0.8674202217746889
0.2,0.9706307880544042,0.937274243369728
0.2,0.9370285893510725,0.9161511735848172
0.3,0.8797862469107541,0.8329155649064556
0.3,0.8760118266001506,0.8159293385904259
0.3,0.9012332732935966,0.8463378609033911
0.3,0.9324918637563435,0.7362116243576876
0.3,0.8867458498775533,0.7208069092969193
0.3,0.9645819531506441,0.9303467605655898
0.3,0.897042326571908,0.5543413007877726
0.3,0.9113039886302701,0.7212740911641911
0.3,0.9623683035586432,0.7610436415630963
0.3,0.8912012566869537,0.9339861288573255
