noise_level,phi_correlation,order2_correlation,order3_correlation,order4_correlation
0.05,0.9968766328509955,,,
0.05,0.9983781967984452,,,
0.05,0.9979203104710664,,,
0.05,0.9981842786445836,,,
0.05,0.9982181137064541,,,
0.05,0.9976308334509915,,,
0.05,0.9971091011120076,,,
0.05,0.9953787048080979,,,
0.05,0.9993568782638687,,,
0.05,0.9985439522313663,,,
0.1,0.9868230291666874,,,
0.1,0.9947788482520353,,,
0.1,0.9914507561850793,,,
0.1,0.9877847205546896,,,
0.1,0.9836852181924925,,,
0.1,0.9962221475215741,,,
0.1,0.9913764284429539,,,
0.1,0.991453950237973,,,
0.1,0.995670619460382,,,
0.1,0.9928430860453454,,,
0.2,0.9708829702974604,,,
0.2,0.9562915235303935,,,
0.2,0.9732977720024845,,,
0.2,0.9656901860203104,,,
0.2,0.9691160186883991,,,
0.2,0.953925164173455,,,
0.2,0.9641222986492,,,
0.2,0.965302837293943,,,
0.2,0.9744904521778518,,,
0.2,0.9711055086830797,,,
0.3,0.9542013331914077,,,
0.3,0.8975334585088016,,,
0.3,0.9241305755842542,,,
0.3,0.9450310209300717,,,
0.3,0.8864796942176073,,,
0.3,0.9419047051309756,,,
0.3,0.9447050482910927,,,
0.3,0.9238209923797956,,,
0.3,0.9322181442100009,,,
0.3,0.9376390167571799,,,
