noise_level,phi_correlation,order2_correlation,order3_correlation,order4_correlation,order5_correlation
0.05,0.9977526640991251,,,,
0.05,0.9975139704155241,,,,
0.05,0.9963405813751269,,,,
0.05,0.9966955814499537,,,,
0.05,0.9969296831718034,,,,
0.05,0.9973877034136897,,,,
0.05,0.9963183940258362,,,,
0.05,0.9976856871304269,,,,
0.05,0.9981213676765016,,,,
0.05,0.9984551467572547,,,,
0.1,0.9951350415791942,,,,
0.1,0.9934149963378747,,,,
0.1,0.9845814597014946,,,,
0.1,0.9757373184054181,,,,
0.1,0.9882526096539722,,,,
0.1,0.9851188335720851,,,,
0.1,0.9909973104918482,,,,
0.1,0.9869790118866968,,,,
0.1,0.9843990144727206,,,,
0.1,0.9836432132780626,,,,
0.2,0.9741020205956237,,,,
0.2,0.9736996566870066,,,,
0.2,0.960691497881616,,,,
0.2,0.9453664767847821,,,,
0.2,0.9460741651742398,,,,
0.2,0.9358141973666932,,,,
0.2,0.9444947405079417,,,,
0.2,0.9715878617495961,,,,
0.2,0.9726095053377808,,,,
0.2,0.9499148275308467,,,,
0.3,0.9115596255497577,,,,
0.3,0.9059274104147444,,,,
0.3,0.9205520579656595,,,,
0.3,0.87392896959533,,,,
0.3,0.8980609561628671,,,,
0.3,0.9744883794102022,,,,
0.3,0.9086633308114059,,,,
0.3,0.8890172058478538,,,,
0.3,0.9341757827306687,,,,
0.3,0.8950579194734386,,,,
