noise_level,phi_correlation
0.05,0.9967743554548628
0.05,0.9981871367460683
0.05,0.9989998098532721
0.05,0.9981880045140469
0.05,0.9989436325054398
0.05,0.9978168618331649
0.05,0.9967163788791914
0.05,0.9982056287473736
0.05,0.9992937431763507
0.05,0.9986334863525167
0.1,0.9906006778884257
0.1,0.9885818093150401
0.1,0.99114239546568
0.1,0.9936994956849237
0.1,0.9982409321047774
0.1,0.9915397391836656
0.1,0.9910421615471087
0.1,0.9894077395109376
0.1,0.9934519739985656
0.1,0.9894185439601221
0.2,0.9556129233619591
0.2,0.9705983206519402
0.2,0.9768410699887231
0.2,0.9846151300185164
0.2,0.965381358428012
0.2,0.9758788723256151
0.2,0.9786178967921962
0.2,0.9860970174852818
0.2,0.9751084005393035
0.2,0.9879079539687355
0.3,0.8983758652425073
0.3,0.8844327084547636
0.3,0.9749201583677516
0.3,0.8680422464653895
0.3,0.9407537084418649
0.3,0.9565300770665535
0.3,0.9709783847026524
0.3,0.9159637721102979
0.3,0.9219391396829165
0.3,0.9399329265711169
