noise_level,phi_correlation,order2_correlation
0.05,0.9981302278959415,
0.05,0.9975422729093415,
0.05,0.9990830159617378,
0.05,0.9994096275843185,
0.05,0.9992655280267693,
0.05,0.9994956554240418,
0.05,0.9987254789068365,
0.05,0.9989947594305714,
0.05,0.9986462170044437,
0.05,0.9990071915052364,
0.1,0.9959046310010063,
0.1,0.9967002718750876,
0.1,0.9935434641913296,
0.1,0.9951399229055462,
0.1,0.9929217705135776,
0.1,0.9941093868721422,
0.1,0.9969639725607676,
0.1,0.994742073359003,
0.1,0.9951284139627272,
0.1,0.997909748809572,
0.2,0.9803978635471011,
0.2,0.9881313595927741,
0.2,0.9878015877872828,
0.2,0.9870399149884026,
0.2,0.9860372598445797,
0.2,0.9828142673652315,
0.2,0.9922323218591217,
0.2,0.9765494777654476,
0.2,0.987697851618003,
0.2,0.9855699090060768,
0.3,0.9603771063935554,
0.3,0.9727556223376315,
0.3,0.9553632845364055,
0.3,0.9664257987552177,
0.3,0.963180615810496,
0.3,0.9868055989205718,
0.3,0.9769759020514099,
0.3,0.9567169109838636,
0.3,0.9565477380753659,
0.3,0.9690255028605497,
