Feature,Phi_Value
0,0.19469795444361154
1,-0.6021347780429427
2,0.4355937667879961
3,0.6927210647478415
4,0.7469272753621985
5,-0.3590649179841323
6,-0.4474686838123773
7,0.2460787882115128
8,-0.2525016624207298
9,-0.45890701281831703
10,-0.11116306692567143
11,0.4134717808054032
12,-0.7235698945397674
13,0.6577922888592932
14,0.09777171789550912
