,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3
1,1,5,0.0010008811950683594,0.7937743190661478,0.796887159533074,0.7992217898832685,0.7976653696498055,0.7898832684824904
2,2,11,0.0010035037994384766,0.8093385214007782,0.8085603112840467,0.8070038910505837,0.8023346303501946,0.8101167315175097
3,3,15,0.001005411148071289,0.8093385214007782,0.8101167315175097,0.8070038910505837,0.8077821011673152,0.8023346303501946
4,4,16,0.0010001659393310547,0.8093385214007782,0.8077821011673152,0.8132295719844358,0.8093385214007782,0.7992217898832685
