,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,9,0.0019986629486083984,0.7466666666666667,0.7473333333333334,0.742,0.7426666666666666,0.7413333333333334,0.7451666666666666,0.02969006567860705
2,2,37,0.009002447128295898,0.7666666666666667,0.758,0.7566666666666667,0.7566666666666666,0.7446666666666666,0.7677499999999999,0.026533652636269705
3,3,93,0.03327131271362305,0.7566666666666667,0.7526666666666667,0.756,0.748,0.7326666666666666,0.7524166666666667,0.032372506338970215
4,4,163,0.05391383171081543,0.7833333333333333,0.764,0.7606666666666667,0.754,0.728,0.7805833333333332,0.02320814631881563
5,5,219,0.06210803985595703,0.7733333333333333,0.7713333333333334,0.7693333333333333,0.7466666666666666,0.7206666666666667,0.7721666666666666,0.026970148106543444
6,6,247,0.07744240760803223,0.7666666666666667,0.7706666666666666,0.7633333333333334,0.7553333333333334,0.7226666666666667,0.7696666666666667,0.026431778012250495
7,7,255,0.0691070556640625,0.77,0.772,0.756,0.7493333333333333,0.7220000000000001,0.7663333333333333,0.027998511865216458
8,8,256,0.07846570014953613,0.77,0.76,0.7639999999999999,0.7313333333333333,0.7326666666666667,0.7724166666666668,0.026232004413608106
