noise_level,phi_correlation,order2_correlation,order3_correlation,order4_correlation,order5_correlation
0.05,0.9979208177083723,,,,
0.05,0.9967968103981293,,,,
0.05,0.9983270526646584,,,,
0.05,0.9976416388270389,,,,
0.05,0.9956105025695229,,,,
0.05,0.9970011972904294,,,,
0.05,0.9969475966171081,,,,
0.05,0.9970755113843711,,,,
0.05,0.9946321028102832,,,,
0.05,0.9981081807102353,,,,
0.1,0.9928088731795368,,,,
0.1,0.9842570569379857,,,,
0.1,0.9851499421993454,,,,
0.1,0.9881294709977899,,,,
0.1,0.9907150037396815,,,,
0.1,0.9844098391532513,,,,
0.1,0.9906499011133248,,,,
0.1,0.9912247471473051,,,,
0.1,0.9841971824828804,,,,
0.1,0.9925166611434667,,,,
0.2,0.9517581896104814,,,,
0.2,0.964184615331633,,,,
0.2,0.9368820987215246,,,,
0.2,0.9699736265504734,,,,
0.2,0.9689930926645663,,,,
0.2,0.9467225914770255,,,,
0.2,0.9417140936639629,,,,
0.2,0.9841245786268471,,,,
0.2,0.9751369393127981,,,,
0.2,0.9325506844000737,,,,
0.3,0.9221739068746253,,,,
0.3,0.891421502417702,,,,
0.3,0.9229075843392428,,,,
0.3,0.8857967790834984,,,,
0.3,0.8314070668947644,,,,
0.3,0.9019704185585071,,,,
0.3,0.9224185223504708,,,,
0.3,0.9383770291156154,,,,
0.3,0.9292263175686344,,,,
0.3,0.8498683732493472,,,,
