noise_level,phi_correlation,order2_correlation,order3_correlation,order4_correlation
0.05,0.9976585531178395,,,
0.05,0.997861058281636,,,
0.05,0.9985212288633445,,,
0.05,0.9981741239167176,,,
0.05,0.996344378696804,,,
0.05,0.9984407313432675,,,
0.05,0.9993202825816336,,,
0.05,0.9990044214602034,,,
0.05,0.9970626287633947,,,
0.05,0.9986999519872432,,,
0.1,0.9876209174475294,,,
0.1,0.9935663813963117,,,
0.1,0.9942898039160449,,,
0.1,0.9913321593795035,,,
0.1,0.996463407033894,,,
0.1,0.996879245601542,,,
0.1,0.9945631859361004,,,
0.1,0.9894773014059126,,,
0.1,0.9877422823467936,,,
0.1,0.9958452062199309,,,
0.2,0.993361957782761,,,
0.2,0.9521534305134344,,,
0.2,0.9782652341864153,,,
0.2,0.9683571025139187,,,
0.2,0.9783676398733514,,,
0.2,0.9670686435273894,,,
0.2,0.9550756238675709,,,
0.2,0.9683118778814446,,,
0.2,0.98654619276792,,,
0.2,0.9780223630163764,,,
0.3,0.937564867408402,,,
0.3,0.9539449396391829,,,
0.3,0.9268146785388288,,,
0.3,0.9431752472493211,,,
0.3,0.9120178542031852,,,
0.3,0.931245480077627,,,
0.3,0.9217884857658997,,,
0.3,0.9636864006939775,,,
0.3,0.9603099906924232,,,
0.3,0.9633619707899468,,,
