noise_level,phi_correlation,order2_correlation
0.05,0.9980603283952535,
0.05,0.9988854454594863,
0.05,0.9992420959843119,
0.05,0.9987165950804386,
0.05,0.999084369421869,
0.05,0.9982593304874271,
0.05,0.9987231754849738,
0.05,0.998767558717454,
0.05,0.9995996530845019,
0.05,0.9989016797762893,
0.1,0.9965601869518872,
0.1,0.9949469085475451,
0.1,0.9950107843813507,
0.1,0.9905162104360242,
0.1,0.9972955278162221,
0.1,0.9987359206155334,
0.1,0.9969237205907726,
0.1,0.9926239435360263,
0.1,0.9958260080364957,
0.1,0.994322561677587,
0.2,0.9845392300417646,
0.2,0.9869311796246264,
0.2,0.9740460985128131,
0.2,0.9857165103995816,
0.2,0.9881123557265303,
0.2,0.9663971702797338,
0.2,0.9768690741081187,
0.2,0.9923572802347679,
0.2,0.9873276989708648,
0.2,0.969384786582839,
0.3,0.9674910416899241,
0.3,0.9681757120589599,
0.3,0.945583663279703,
0.3,0.9706519247257216,
0.3,0.9692953180153467,
0.3,0.9337228962745837,
0.3,0.9653352203790875,
0.3,0.9688689751701209,
0.3,0.9263818685776768,
0.3,0.9760871394385655,
