noise_level,phi_correlation
0.05,0.9964823497198491
0.05,0.9979640106734928
0.05,0.9968771104114652
0.05,0.9989316511263268
0.05,0.9984044104058545
0.05,0.9983139069928936
0.05,0.9976000039084187
0.05,0.9987383171785919
0.05,0.9988305008813493
0.05,0.9982787413527906
0.1,0.9863183627807594
0.1,0.9923099720906124
0.1,0.9936805570153228
0.1,0.9946892541262715
0.1,0.9945042216507662
0.1,0.9947137916627999
0.1,0.9962021264484526
0.1,0.9867910943482522
0.1,0.9955783768437159
0.1,0.9915309255426844
0.2,0.9544231230000004
0.2,0.9662380111847596
0.2,0.9725109203696122
0.2,0.9745221645460247
0.2,0.980125381462258
0.2,0.949095679098534
0.2,0.980208511737927
0.2,0.9881451343937423
0.2,0.983464446779813
0.2,0.9610167108828933
0.3,0.9430245924382081
0.3,0.9128668892000793
0.3,0.9563831642364501
0.3,0.9476225072502242
0.3,0.9395655563073322
0.3,0.9195999278443832
0.3,0.9429561936608889
0.3,0.9539359988987525
0.3,0.9382588492459448
0.3,0.9476901417948336
