Index,Interaction_Value
0,-0.15571587166236442
1,-0.2277509391740132
2,-0.13845570586951178
3,-0.029968281927279353
4,0.15762461871651265
5,-0.6641485585469711
6,-0.2749901535641344
7,0.0013718649318922526
8,-0.3864718819173909
