,k_value,n_params,train_time,baseline_accuracy,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,9,0.0010035037994384766,0.76,0.7566666666666666,0.7446666666666666,0.7553333333333333,0.7570833333333333,0.026289652590578933
2,2,37,0.0010004043579101562,0.76,0.7693333333333333,0.7573333333333334,0.752,0.765,0.025685058345704077
3,3,93,0.004061460494995117,0.7566666666666667,0.7593333333333334,0.7553333333333334,0.7653333333333334,0.7619166666666666,0.028674538647843428
4,4,163,0.008004903793334961,0.7666666666666667,0.772,0.76,0.7606666666666667,0.7668333333333333,0.029732137494637007
5,5,219,0.01589179039001465,0.7633333333333333,0.7626666666666667,0.7659999999999999,0.7666666666666667,0.7572500000000001,0.024063140323370563
6,6,247,0.03542518615722656,0.7633333333333333,0.766,0.7686666666666667,0.764,0.7632499999999999,0.026896018912347112
7,7,255,0.029149293899536133,0.7633333333333333,0.762,0.7606666666666666,0.7473333333333334,0.7656666666666669,0.033077770313140645
8,8,256,0.029999971389770508,0.7633333333333333,0.766,0.7633333333333333,0.756,0.7540833333333333,0.026751038401444445
