k_value,best_accuracy,best_feature_set,best_n_features,full_accuracy,accuracy_improvement
1,0.8166666666666667,"0,1,2,3,4,5,6",7,0.78,0.036666666666666625
2,0.79,"0,1,2,3,4,5,6,7",8,0.79,0.0
3,0.7866666666666666,"0,1,2,3,4,5,6,7",8,0.7866666666666666,0.0
4,0.79,"0,1,2,3,4,5,6,7",8,0.79,0.0
5,0.7933333333333333,"0,1,2,3,4,5,6,7",8,0.7933333333333333,0.0
6,0.7966666666666666,"0,1,2,3,4,5,6,7",8,0.7966666666666666,0.0
7,0.7966666666666666,"0,1,2,3,4,5,6,7",8,0.7966666666666666,0.0
8,0.7966666666666666,"0,1,2,3,4,5,6,7",8,0.7966666666666666,0.0
