k_value,best_accuracy,best_feature_set,best_n_features,full_accuracy,accuracy_improvement
1,0.8132295719844358,"0,1,2,3",4,0.8132295719844358,0.0
2,0.8093385214007782,"0,1,2",3,0.7976653696498055,0.011673151750972721
3,0.8093385214007782,"0,1,2",3,0.8015564202334631,0.0077821011673151474
4,0.8015564202334631,"0,1,2,3",4,0.8015564202334631,0.0
