,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3
1,1,16,0.002413034439086914,0.49333333333333335,0.49333333333333335,0.4926666666666667,0.49000000000000005,0.4833333333333333
2,2,121,0.34807562828063965,0.78,0.7666666666666667,0.76,0.7553333333333334,0.7446666666666666
3,3,576,1.5525305271148682,0.7566666666666667,0.752,0.7646666666666666,0.748,0.7266666666666667
4,4,1941,5.46117377281189,0.7666666666666667,0.766,0.774,0.7593333333333333,0.7573333333333334
5,5,4944,14.017703771591187,0.7466666666666667,0.74,0.7346666666666667,0.7453333333333333,0.7306666666666667
6,6,9949,28.557599782943726,0.7266666666666667,0.7353333333333334,0.7360000000000001,0.7406666666666666,0.7013333333333333
7,7,16384,49.920867919921875,0.7333333333333333,0.7313333333333334,0.7313333333333334,0.7306666666666666,0.7066666666666667
8,8,22819,78.11105585098267,0.7333333333333333,0.7353333333333334,0.7300000000000001,0.7193333333333334,0.7013333333333334
9,9,27824,103.51484441757202,0.7333333333333333,0.728,0.7273333333333333,0.7313333333333333,0.7133333333333333
10,10,30827,126.36548852920532,0.7333333333333333,0.734,0.7353333333333334,0.7093333333333334,0.7153333333333334
11,11,32192,145.7891743183136,0.73,0.7266666666666667,0.7233333333333334,0.7260000000000001,0.7033333333333334
12,12,32647,157.06308913230896,0.7333333333333333,0.726,0.72,0.7153333333333334,0.7146666666666667
13,13,32752,160.1688826084137,0.73,0.7333333333333334,0.7266666666666667,0.7253333333333332,0.6933333333333334
14,14,32767,162.3503499031067,0.73,0.7313333333333333,0.7193333333333334,0.7153333333333334,0.6993333333333334
15,15,32768,162.7484073638916,0.73,0.7220000000000001,0.7253333333333334,0.7126666666666666,0.6933333333333334
