noise_level,phi_correlation,order2_correlation,order3_correlation
0.05,0.9980068868931878,0.9872627888488136,0.9933513079235589
0.05,0.9997275856665895,0.993776915762381,0.9955406809232334
0.05,0.9981494449799597,0.982106025118907,0.9911269576001835
0.05,0.996142413826222,0.9793915701509458,0.9915242014687682
0.05,0.9988022480470273,0.993396077057952,0.996579624207928
0.05,0.9997752506805747,0.9922590596889483,0.9955108317791456
0.05,0.9993884331411204,0.9869617221429136,0.990837768884823
0.05,0.9994518144090269,0.9940297701195784,0.9966510362855363
0.05,0.9994174242909832,0.9845533288356343,0.9923260226377537
0.05,0.9983403948340724,0.9932096006355748,0.9951652768990785
0.1,0.9919182215319513,0.9627333252680347,0.9779840560644946
0.1,0.9965218382113632,0.9632481836096978,0.9789892068869546
0.1,0.995963813994115,0.9631793594132865,0.9780636346075341
0.1,0.9972301529470797,0.9775908958603566,0.9850750726306687
0.1,0.9944489411345296,0.9220699664249353,0.9545877604475952
0.1,0.9963854210987256,0.9714706939165894,0.9839021768761476
0.1,0.995594952748795,0.9555097545819567,0.9762241680733931
0.1,0.9958614037481528,0.9759723743644142,0.9854232404661888
0.1,0.9912648841180204,0.9270931063193639,0.9673781904280582
0.1,0.99634509583235,0.970343362829851,0.9784135521916363
0.2,0.9862353658032157,0.8678536974036696,0.9250537339881172
0.2,0.9886642361997855,0.9050560338683085,0.9396677637618488
0.2,0.9892106793365667,0.8649754904319769,0.9144741152861787
0.2,0.9765979094597791,0.8580775948306792,0.9196439454439215
0.2,0.9766885980229207,0.8640040483379372,0.921283801269481
0.2,0.981882163271385,0.9180926974237295,0.93524596827043
0.2,0.9780034728634551,0.8820109431737836,0.9358077435499231
0.2,0.9897249382902531,0.9445790480178253,0.9556014708833347
0.2,0.9875740607462303,0.9082257902240279,0.9338413748487798
0.2,0.9858183669393171,0.8905187885886784,0.9250372327527047
0.3,0.9688650780828921,0.8140799095347381,0.86387540955597
0.3,0.9704381938589537,0.8068662241899464,0.88602358311312
0.3,0.9765220213903526,0.8546663577037759,0.9066802514021651
0.3,0.9850631246901131,0.8042910210333502,0.8698219369112096
0.3,0.9894999163668384,0.8579461058997991,0.8792177873409599
0.3,0.9872904686137458,0.7662949087432216,0.8358952766537978
0.3,0.9831333285798456,0.8601512543769575,0.8813579594250256
0.3,0.9910681556409462,0.8755423408114436,0.9163861346318695
0.3,0.9809192277964035,0.820339083005677,0.880040880019214
0.3,0.9730272091617177,0.8075592440492421,0.850236922868218
