,k_value,n_params,train_time,baseline_accuracy,noise_0.1,noise_0.2,noise_0.3
1,1,5,0.002003192901611328,0.5263157894736842,0.539766081871345,0.5426900584795321,0.5467836257309943
2,2,11,0.002002239227294922,0.6929824561403509,0.684795321637427,0.6736842105263158,0.6695906432748538
3,3,15,0.002633810043334961,0.7076023391812866,0.7046783625730995,0.6970760233918128,0.6935672514619883
4,4,16,0.003000974655151367,0.7076023391812866,0.7040935672514619,0.7023391812865498,0.6877192982456141
