,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3
1,1,16,0.002000093460083008,0.5233333333333333,0.5186666666666666,0.5173333333333333,0.5206666666666667,0.5233333333333332
2,2,121,0.2577052116394043,0.49666666666666665,0.4833333333333333,0.4926666666666667,0.49866666666666665,0.4966666666666667
3,3,576,1.7241179943084717,0.5566666666666666,0.5640000000000001,0.5700000000000001,0.5593333333333332,0.5846666666666667
4,4,1941,5.122620105743408,0.5766666666666667,0.5626666666666666,0.5533333333333332,0.5619999999999999,0.5673333333333334
5,5,4944,13.222140312194824,0.54,0.542,0.5466666666666666,0.5353333333333333,0.544
6,6,9949,27.633298635482788,0.5366666666666666,0.536,0.5433333333333333,0.538,0.5333333333333334
7,7,16384,45.62833380699158,0.55,0.532,0.5293333333333333,0.5313333333333332,0.5233333333333333
8,8,22819,63.45269513130188,0.54,0.5399999999999999,0.5386666666666666,0.5306666666666666,0.5346666666666666
9,9,27824,77.36880707740784,0.5366666666666666,0.5353333333333333,0.5433333333333333,0.5266666666666666,0.5273333333333333
10,10,30827,85.95968389511108,0.5466666666666666,0.5386666666666666,0.5286666666666666,0.5326666666666667,0.5413333333333333
11,11,32192,88.89857387542725,0.5466666666666666,0.5426666666666666,0.5373333333333333,0.5413333333333332,0.538
12,12,32647,90.34717869758606,0.55,0.5406666666666667,0.5473333333333333,0.5253333333333334,0.5359999999999999
13,13,32752,89.79948449134827,0.55,0.5399999999999999,0.5273333333333333,0.5393333333333333,0.53
14,14,32767,90.89359211921692,0.55,0.5406666666666666,0.5413333333333333,0.5293333333333334,0.5273333333333333
15,15,32768,91.61158490180969,0.55,0.5413333333333334,0.5406666666666666,0.5273333333333333,0.5393333333333332
