noise_level,phi_correlation,order2_correlation,order3_correlation
0.05,0.9994753770378902,0.9992481865579976,0.998231746405864
0.05,0.9997478466889768,0.9989000519809402,0.9975781605496692
0.05,0.9997030681915093,0.9991561168043622,0.9980796704136684
0.05,0.9998546614817229,0.9992043052779329,0.9986822766416769
0.05,0.9998466983125059,0.9989626282433631,0.9981641193129082
0.05,0.9997570734152629,0.9991217182587833,0.9981025136625681
0.05,0.9998745414980934,0.9994945167083743,0.9987142130911859
0.05,0.999667307985712,0.9989903917876505,0.9977572989041791
0.05,0.9998876947896881,0.9991675064182259,0.9980737469592486
0.05,0.9998481891481376,0.9992763534939029,0.9986810150267525
0.1,0.9986184046934219,0.9958811168273142,0.9903617082351444
0.1,0.9995067640221776,0.9975326845540878,0.9946219222641254
0.1,0.9991652113914586,0.9967246930460492,0.992767483454381
0.1,0.998343349146553,0.9966420889098264,0.9943861789213437
0.1,0.9997399200276308,0.9962470125451892,0.9941746462386362
0.1,0.9980965158039944,0.9962272542243996,0.9935096081001435
0.1,0.9986471176458531,0.9957778479427174,0.9904125304134164
0.1,0.999608646116745,0.9984661858707715,0.9933056205810157
0.1,0.9987315175818354,0.9974552552445068,0.9935777059848987
0.1,0.999486820484383,0.9972399218776733,0.9930043291951608
0.2,0.9971151531757982,0.9931767211545677,0.9809812699604064
0.2,0.9838864656599359,0.9888908140194129,0.959188239490598
0.2,0.9949177710368189,0.987153699418824,0.9746099022091788
0.2,0.9949340241134985,0.9901323785316435,0.9747433619909941
0.2,0.9940959684480789,0.9867789623523943,0.9716872837386944
0.2,0.9977380590900495,0.991203571563328,0.9629435718623603
0.2,0.9948806345038596,0.9948975321672292,0.9848581761201181
0.2,0.9937113151726054,0.9852175178396929,0.9749108787406872
0.2,0.9925850096988745,0.9841896238304593,0.9672809040012892
0.2,0.997850233531382,0.9872745465579444,0.9816058403786168
0.3,0.9875280564084358,0.9756299201633356,0.9329609626299022
0.3,0.9853567327935074,0.9759478472097478,0.9322411838944636
0.3,0.9726803368937497,0.942272944584571,0.9433378548904419
0.3,0.9950188516538949,0.9668587168073495,0.9261079378096237
0.3,0.9949106287651963,0.9769084154195228,0.9372304718272938
0.3,0.9827003582362271,0.953062997085583,0.9103414552492552
0.3,0.9887467645295235,0.9549370155846566,0.9067146154982929
0.3,0.9947457646132459,0.9663085763498681,0.9508144085597702
0.3,0.9909706037163893,0.9783957504142883,0.9550930716877605
0.3,0.9898720257656585,0.9730801331606781,0.9390374317454047
