noise_level,phi_correlation,order2_correlation,order3_correlation,order4_correlation,order5_correlation,order6_correlation,order7_correlation,order8_correlation
0.05,0.9998828523997921,0.999177684641885,0.99816048467758,0.9987925582906904,0.9968782391644693,0.9971306271401699,0.9943903434746998,
0.05,0.9995124719826792,0.9988410711738369,0.9978788360973103,0.9981680140928288,0.9969106578084074,0.9970649037846767,0.9933599595881983,
0.05,0.9998002704728216,0.9991556121017747,0.9983347425953115,0.9986248303865579,0.9979465631714368,0.9974030524798675,0.9960470225923164,
0.05,0.9990757334230137,0.9992141336350455,0.9982612991818296,0.9981221117414224,0.9974498179955102,0.9957926211782743,0.9946977568633354,
0.05,0.999711708760667,0.9991184963433183,0.997180295017426,0.9986096993017354,0.9951677845852485,0.9968981344634471,0.9930624222227152,
0.05,0.9993708046145857,0.9988796026884347,0.997863523635553,0.9982339745106602,0.9967609757082956,0.996916255871864,0.9937834987787293,
0.05,0.9998004537740627,0.9990304976363986,0.9975790604580831,0.9986658295462342,0.9953492919941124,0.9973604876975969,0.9876112446271377,
0.05,0.9995892968923397,0.9992791504331632,0.9976267102659131,0.9984943781789903,0.9967195372682333,0.9985132341070512,0.9903240581339963,
0.05,0.9996537981757612,0.9991777639124093,0.9977230290010443,0.9988879381111314,0.9978382782558813,0.9989809358094675,0.997368662824137,
0.05,0.9997203548047002,0.9992865139604488,0.9970018334743485,0.9982185956085277,0.9968724692487893,0.9974002833566248,0.9964970951542931,
0.1,0.9993897991773395,0.9933081704443592,0.9909870066812051,0.9877802650694738,0.9829079672936384,0.9674029637147457,0.9797583574251573,
0.1,0.9994538855627543,0.9963183262505186,0.9930905945292748,0.9952025396154158,0.987103012744287,0.9878654795697916,0.9797313933042866,
0.1,0.9981025800105688,0.9958967409251084,0.9907071533873569,0.9934004111767356,0.9883456400614561,0.9896523862074061,0.9749206249125558,
0.1,0.9948540751166893,0.9965910623598802,0.9937628789081956,0.996226311861206,0.9890442334232199,0.9944510367287285,0.9854458610184292,
0.1,0.9993630558736948,0.9984184154119365,0.9957515382981063,0.9943427457860539,0.9907267285744173,0.9861864090304946,0.9860073665739313,
0.1,0.9991823112506342,0.9938170406468622,0.99218373873136,0.990668082593893,0.9841501985195916,0.9862326122547546,0.9770239999105812,
0.1,0.9992380826992845,0.9940024153902087,0.9913677927560449,0.9906916562681556,0.9816597487775137,0.9826313100191902,0.9608244817535908,
0.1,0.9967868533508545,0.9973878019434887,0.9917542764158723,0.9954858034322055,0.9807382612681403,0.9901472888005228,0.9367641641211746,
0.1,0.9978212763807078,0.9963048595930408,0.9876436124932659,0.9912938330831108,0.9795467472232349,0.9859297893908562,0.9642010256928849,
0.1,0.998456571502581,0.992733302996778,0.9802369315391444,0.9913165143078588,0.9671237329195758,0.9829885792829854,0.9433792568971279,
0.2,0.9968222591259118,0.9845219171120454,0.9722123773072786,0.9837793430020306,0.9643823694138175,0.9821539152643457,0.9598556543255568,
0.2,0.9929627822343101,0.9931599700670758,0.9709928270169844,0.9817557155857713,0.9514474356174247,0.978358460705556,0.8414879358884608,
0.2,0.9862393051696055,0.9798516954379277,0.9598969580793104,0.9663317653382393,0.9341099305430632,0.9293004910777432,0.8220736764794091,
0.2,0.9958876143723483,0.9879514296311662,0.9787763270334986,0.9709314911011069,0.9455051161246774,0.9391239727192325,0.8511470748864716,
0.2,0.9910733720574546,0.9877370941384099,0.9640088256144981,0.9697117266835106,0.9426258652680362,0.9326601067117392,0.8897052517465157,
0.2,0.9962359554595419,0.9897960592800285,0.9747599288658355,0.978999812243621,0.9567762697042933,0.9621417115607446,0.9095482664807586,
0.2,0.9867167739249194,0.979947398944184,0.9717914423346883,0.9813823887237113,0.9643865390452989,0.9594760908271843,0.890748058171073,
0.2,0.9975328079958646,0.9906486611032401,0.9753878574272876,0.9841729533338445,0.9476785793779114,0.9586413016859814,0.8578403382846566,
0.2,0.9944885607052547,0.9909663580330494,0.9692374892072267,0.971646103760461,0.9479588811570274,0.9203061847442849,0.8971414736016835,
0.2,0.9973432221138964,0.9858919633542512,0.9708598136096369,0.9809947819789,0.9625171436450489,0.9610257666789634,0.913124857726198,
0.3,0.9847036080638737,0.9731746313096585,0.902818486346751,0.9433950714726251,0.8232925466060912,0.9100191203113217,0.6418093052842334,
0.3,0.9860171181165837,0.9363670475898332,0.8788941887726597,0.9043360178660492,0.8692302861224637,0.8820707325593414,0.8780973042661123,
0.3,0.9863344104461754,0.9209804108954953,0.9175385329336885,0.8922805537454095,0.8487279362126554,0.7751548407347844,0.5670649890863966,
0.3,0.987560518203134,0.969522988629119,0.9415168386729912,0.9599718917770986,0.9285270723737655,0.9581045916322851,0.9118705127591238,
0.3,0.9921884971915801,0.9616029430231431,0.9346745674914866,0.9515337162240293,0.9059075548388125,0.9036966402946407,0.8851849256586095,
0.3,0.9775340120339304,0.9833359395224395,0.9541091995991283,0.9573947342943736,0.9193881004817401,0.8978744720315084,0.7009053598631413,
0.3,0.9926572728791849,0.97680119052885,0.9437438026986092,0.9623664413681432,0.9033463856755932,0.9140431584184745,0.6876579612228098,
0.3,0.9763559479753221,0.9726219673277889,0.9378381395796858,0.9573978718894417,0.8724036836658016,0.906490137457154,0.49175772063923623,
0.3,0.9689918917651702,0.9651912531719258,0.9089039838991678,0.9045318590262488,0.8602789431012282,0.8929930090184752,0.7677174484312194,
0.3,0.9884588784199,0.9650742535011113,0.9470524742936912,0.965755490078268,0.9574984345126658,0.9319911123722138,0.963816795686899,
