,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,shapley_stability,order2_stability,order3_stability,order4_stability,order5_stability,order6_stability,order7_stability,order8_stability
1,1,9,0.0019998550415039062,0.76,,,,,0.9984492100152944,,,,,,,
2,2,37,0.002000093460083008,0.76,,,,,0.994252785039816,0.9882217303756492,,,,,,
3,3,93,0.0042378902435302734,0.7566666666666667,,,,,0.995296287081757,0.9878008380197292,0.9744718829160284,,,,,
4,4,163,0.007998943328857422,0.7666666666666667,,,,,0.9923135791348856,0.9864702761466115,0.9711400011698931,0.9775987755176083,,,,
5,5,219,0.017000436782836914,0.7633333333333333,,,,,0.9928016083131863,0.9864167638539406,0.9698514812938613,0.9781008861208857,0.9515169115791493,,,
6,6,247,0.025396108627319336,0.7633333333333333,,,,,0.9944377940132206,0.987265748590808,0.9739513918098526,0.9792456582583634,0.9571958026379822,0.9619514815457568,,
7,7,255,0.030004501342773438,0.7633333333333333,,,,,0.9933904767262345,0.9858057337554602,0.9723953632268441,0.978678452058533,0.9598599466185683,0.9662375666215333,0.9207428149425535,
8,8,256,0.03209805488586426,0.7633333333333333,,,,,0.9938717761119875,0.986027095877241,0.9715027349732083,0.9769973955613943,0.9551307239873219,0.9580643551923622,0.8988438376589462,
