,k_value,n_params,train_time,baseline_accuracy,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,5,0.001001596450805664,0.8132295719844358,0.8038910505836576,0.7891050583657588,0.796887159533074,0.8092682926829268,0.02417957801247554
2,2,11,0.0030002593994140625,0.8171206225680934,0.8147859922178988,0.8108949416342413,0.8140077821011673,0.8188292682926829,0.027037066675584226
3,3,15,0.018048763275146484,0.8093385214007782,0.8108949416342413,0.8124513618677043,0.8038910505836576,0.8058536585365853,0.026771556554170215
4,4,16,0.06299376487731934,0.8093385214007782,0.8101167315175097,0.8101167315175097,0.8108949416342413,0.8063414634146342,0.030326402033891794
