k_value,best_accuracy,best_feature_set,best_n_features,full_accuracy,accuracy_improvement
1,0.6533333333333333,"1,2,3,4,5,6",6,0.6266666666666667,0.026666666666666616
2,0.6866666666666666,"0,1,2,4,6,7",6,0.65,0.036666666666666625
3,0.74,"1,2,3,4,6,7",6,0.67,0.06999999999999995
4,0.74,"0,1,2,3,4,5",6,0.6566666666666666,0.08333333333333337
5,0.75,"0,1,3,4,5,6,7",7,0.7033333333333334,0.046666666666666634
6,0.8033333333333333,"0,1,3,4,5,7",6,0.74,0.06333333333333335
7,0.8133333333333334,"1,2,3,4,5,6,7",7,0.7533333333333333,0.06000000000000005
8,0.8,"0,1,2,3,4,5,6,7",8,0.8,0.0
