name,value
X1,-1.4332899667697323
X2,0.7675008376665526
X3,-0.09370041369437429
X4,1.837570992377024
X5,-1.5715022540883203
X6,3.089938199366239
X7,1.554065873185905
X8,2.781972956637966
X9,1.974321653194582
X10,1.4003486088303874
X11,-2.5630826192060963
X12,-1.3740809082627676
X13,-0.19759934469108648
X14,1.5865680705011964
X15,2.0187204873822675
"X1,X2",12.18152767267967
"X1,X3",-0.8871592068155052
"X1,X4",0.626226828271985
"X1,X5",-1.7377139376918533
"X1,X6",-1.6083032150751264
"X1,X7",-0.8250417635156021
"X1,X8",0.5468111488046895
"X1,X9",-1.7657265067243573
"X1,X10",-0.5706097387918694
"X1,X11",-0.08853508833443105
"X1,X12",-1.0225328184746025
"X1,X13",-1.7615968734121359
"X1,X14",-0.2680122817391307
"X1,X15",0.2605189802757669
"X2,X3",-3.5490622533231235
"X2,X4",1.7797013000153492
"X2,X5",1.9830902921357674
"X2,X6",-0.18583986317284615
"X2,X7",-0.0858311294459297
"X2,X8",0.5433369647861858
"X2,X9",2.5683423921871267
"X2,X10",-3.4930309599916316
"X2,X11",1.515860863236333
"X2,X12",2.2238123484986465
"X2,X13",-1.3921412953333818
"X2,X14",-4.982118800548287
"X2,X15",-0.941101065880251
"X3,X4",12.480480182015418
"X3,X5",-2.1683131273170773
"X3,X6",2.645112169069648
"X3,X7",-3.0696865342522983
"X3,X8",0.07708377162070369
"X3,X9",0.41574422776581454
"X3,X10",2.4109820800123005
"X3,X11",-0.7165958577131394
"X3,X12",0.7122380513126868
"X3,X13",-0.46287752206815913
"X3,X14",-3.896798412384043
"X3,X15",-0.1498404308350527
"X4,X5",-2.193473872443322
"X4,X6",-1.6351261581475431
"X4,X7",0.7821756300685497
"X4,X8",-1.1684049718624856
"X4,X9",2.614331100263056
"X4,X10",0.9526178097095712
"X4,X11",-1.5931351817047688
"X4,X12",1.738387713948239
"X4,X13",-0.6403381244959969
"X4,X14",-2.9878332344594467
"X4,X15",0.10010734775797417
"X5,X6",15.432700150113895
"X5,X7",-2.1956969576171557
"X5,X8",-0.6547295796542814
"X5,X9",3.9531114131805953
"X5,X10",1.8275161373614144
"X5,X11",-2.0136802495305455
"X5,X12",-3.4407603350870297
"X5,X13",-1.3119415986851783
"X5,X14",-2.8474056677223145
"X5,X15",0.18627826018348176
"X6,X7",-1.8678094146358157
"X6,X8",-4.190187027180116
"X6,X9",-4.689475782791439
"X6,X10",0.5242514023742242
"X6,X11",-2.2948459221746202
"X6,X12",-0.6380839704220558
"X6,X13",-3.2207448185910543
"X6,X14",-3.016541158261491
"X6,X15",-0.7512690451803121
"X7,X8",12.045264912267127
"X7,X9",-1.2763922190281298
"X7,X10",1.6482763131318328
"X7,X11",2.388345309622358
"X7,X12",0.6502056366647982
"X7,X13",-1.4918858436061737
"X7,X14",-0.5578615852425205
"X7,X15",-1.2747173093310953
"X8,X9",-1.6246925003147972
"X8,X10",-2.519123947883317
"X8,X11",-1.0098053659040183
"X8,X12",-0.8359175790541719
"X8,X13",-1.509304506188471
"X8,X14",1.2542368336088583
"X8,X15",-2.364095337141885
"X9,X10",7.4031517361385575
"X9,X11",-0.44185384995956434
"X9,X12",-3.8818175597098343
"X9,X13",1.4237549474239701
"X9,X14",-5.407204738057898
"X9,X15",3.0569405070364213
"X10,X11",-0.5806123721518699
"X10,X12",0.014438706446764149
"X10,X13",-4.320795058243522
"X10,X14",-2.071458207009561
"X10,X15",-1.030246247329064
"X11,X12",16.511545614403666
"X11,X13",1.8340673075960807
"X11,X14",-2.102504644190877
"X11,X15",-4.1369710544766525
"X12,X13",-4.144131709329217
"X12,X14",-3.848334737678359
"X12,X15",-2.592279988840624
"X13,X14",17.25106673980438
"X13,X15",1.1701322031053827
"X14,X15",2.369620576129764
"X1,X2,X3",0.7387827424725382
"X1,X2,X4",2.1562071501547533
"X1,X2,X5",-0.5847074557279265
"X1,X2,X6",-4.359408248699899
"X1,X2,X7",2.369203925956847
"X1,X2,X8",-0.7248682249088518
"X1,X2,X9",-1.2929809943870934
"X1,X2,X10",-0.31328268866299197
"X1,X2,X11",6.501846059548253
"X1,X2,X12",1.656520364180155
"X1,X2,X13",-1.1549246253725378
"X1,X2,X14",-1.208854870794931
"X1,X2,X15",-0.5101661610792654
"X1,X3,X4",-0.9885502953333063
"X1,X3,X5",2.632853283853618
"X1,X3,X6",2.8099790878982263
"X1,X3,X7",1.5280440576146939
"X1,X3,X8",-2.6744178079825427
"X1,X3,X9",-0.6125057033892102
"X1,X3,X10",2.713110118627882
"X1,X3,X11",-0.5005146714209325
"X1,X3,X12",1.1935191228962507
"X1,X3,X13",-0.5350156498724286
"X1,X3,X14",-1.0129518432809228
"X1,X3,X15",-1.3881528178168279
"X1,X4,X5",0.32339036686727385
"X1,X4,X6",-0.5485398965017656
"X1,X4,X7",2.7108589194878836
"X1,X4,X8",-1.7082085916823582
"X1,X4,X9",-2.091549891327332
"X1,X4,X10",0.5283809763901955
"X1,X4,X11",-0.38883978889006987
"X1,X4,X12",-1.1690936533693916
"X1,X4,X13",1.9291672770542228
"X1,X4,X14",-1.0637669778843666
"X1,X4,X15",1.1664097103150561
"X1,X5,X6",-0.307444206471819
"X1,X5,X7",0.7338181616017007
"X1,X5,X8",0.6349530795401326
"X1,X5,X9",0.03820638565040224
"X1,X5,X10",1.76552937319748
"X1,X5,X11",-0.12561309466821577
"X1,X5,X12",0.0486389620844494
"X1,X5,X13",4.186907986048361
"X1,X5,X14",-2.307823355523018
"X1,X5,X15",1.5784673534928264
