,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3
1,1,16,0.002003908157348633,0.49666666666666665,0.49399999999999994,0.48666666666666664,0.4833333333333333,0.48200000000000004
2,2,121,0.0029981136322021484,0.7133333333333334,0.7200000000000001,0.7153333333333334,0.7066666666666667,0.6893333333333332
3,3,576,0.021000385284423828,0.76,0.7526666666666666,0.746,0.718,0.7286666666666667
4,4,1941,0.06490230560302734,0.7433333333333333,0.734,0.7313333333333334,0.726,0.722
5,5,4944,0.21230220794677734,0.7333333333333333,0.726,0.7213333333333335,0.72,0.708
6,6,9949,0.487213134765625,0.7166666666666667,0.7153333333333334,0.7180000000000001,0.71,0.6966666666666667
7,7,16384,0.9548122882843018,0.7166666666666667,0.7073333333333334,0.7093333333333334,0.6966666666666667,0.686
8,8,22819,1.6642510890960693,0.6966666666666667,0.708,0.7013333333333334,0.6946666666666668,0.6826666666666666
9,9,27824,1.6882455348968506,0.7033333333333334,0.6993333333333334,0.7,0.686,0.6726666666666665
10,10,30827,2.110839366912842,0.7,0.708,0.7040000000000001,0.6893333333333334,0.6786666666666666
11,11,32192,2.273928642272949,0.7033333333333334,0.6986666666666668,0.7113333333333334,0.6759999999999999,0.67
12,12,32647,1.925299882888794,0.7033333333333334,0.7066666666666667,0.7,0.688,0.674
13,13,32752,2.2166597843170166,0.7066666666666667,0.7046666666666666,0.7106666666666668,0.6946666666666668,0.6893333333333334
14,14,32767,2.1845407485961914,0.7066666666666667,0.7006666666666667,0.7153333333333333,0.6900000000000001,0.684
15,15,32768,2.2129664421081543,0.7066666666666667,0.698,0.708,0.6766666666666667,0.696
