,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3
1,1,5,0.0,0.8015564202334631,0.8038910505836576,0.8,0.7922178988326849,0.8007782101167316
2,2,11,0.012467384338378906,0.8132295719844358,0.8140077821011673,0.8093385214007782,0.8093385214007782,0.8046692607003891
3,3,15,0.0,0.8132295719844358,0.8116731517509728,0.8140077821011673,0.8093385214007782,0.8046692607003891
4,4,16,0.0,0.8132295719844358,0.8140077821011673,0.8155642023346303,0.8077821011673152,0.8108949416342413
