dataset,n_attr,best_k_accuracy,max_accuracy,best_k_noise,noise_robustness,best_k_stability,stability
dados_covid_sbpo_atual,9,6,0.6942517343904856,9,0.6200579400777617,6,0.002792111188345197
banknotes,5,3,1.0,4,1.0,3,0.0
transfusion,4,3,0.7222222222222222,2,0.7017543859649124,3,0.024876083291354784
mammographic,4,4,0.8171206225680934,4,0.8,2,0.02739101490998335
raisin,7,7,0.8666666666666667,7,0.7762962962962963,7,0.02299598133914582
rice,7,7,0.9235474006116208,7,0.8451070336391437,7,0.006521281912535131
diabetes,8,8,0.7666666666666667,8,0.71,8,0.026268379808769657
skin,4,4,1.0,4,0.996337078073104,4,0.0
