,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,shapley_stability,order2_stability,order3_stability,order4_stability,order5_stability
1,1,6,0.0019974708557128906,1.0,,,,,0.9997228962801921,,,,
2,2,16,0.0023021697998046875,1.0,,,,,0.9995815028291739,0.9986179969927761,,,
3,3,26,0.0019998550415039062,1.0,,,,,0.9996521956786192,0.998040435927203,0.9968281208620028,,
4,4,31,0.0030035972595214844,1.0,,,,,0.9996547311186221,0.9980078779758681,0.9971988727480348,0.9974448317556852,
5,5,32,0.00363922119140625,1.0,,,,,0.9995964163273858,0.9983254813416035,0.9972434754675826,0.997820142407625,
