noise_level,phi_correlation
0.05,0.9999964643020932
0.05,0.9999990439788179
0.05,0.9999976967712165
0.05,0.999998164179248
0.05,0.999998758366342
0.05,0.9999935703365851
0.05,0.9999897740877174
0.05,0.999996200464285
0.05,0.9999907317975097
0.05,0.9999957337335771
0.1,0.9999964958719337
0.1,0.9999892592113595
0.1,0.9999965620070781
0.1,0.9999652163775048
0.1,0.9999936604362532
0.1,0.9999726845149557
0.1,0.9999895633668863
0.1,0.9999703468480033
0.1,0.9998973930966077
0.1,0.9999901643321204
0.2,0.9998074583289193
0.2,0.9998425236901856
0.2,0.9996559115450978
0.2,0.9999087198213816
0.2,0.9997928073760746
0.2,0.9999363986537209
0.2,0.9995788022879111
0.2,0.9997983907935007
0.2,0.9998787599284008
0.2,0.999880904966726
0.3,0.9993189749359077
0.3,0.9990704270485999
0.3,0.9989173672112265
0.3,0.999848095644206
0.3,0.9992360284859988
0.3,0.9987786789349702
0.3,0.9991459684041857
0.3,0.9994091989243439
0.3,0.9992666345453406
0.3,0.9981263156008884
