noise_level,phi_correlation,order2_correlation,order3_correlation,order4_correlation,order5_correlation,order6_correlation,order7_correlation,order8_correlation,order9_correlation
0.05,0.9972458936126706,0.9984133930279306,0.9925888100341925,0.9961213305346688,0.9905113535071663,0.9937611293045612,0.9884206997998631,0.989334760904981,0.9857163718155831
0.05,0.9968411822144435,0.9988476609336031,0.9927650658764365,0.9959937367277939,0.9897606507054058,0.9931757049923687,0.9871252285622347,0.9891323564487781,0.9856938171174588
0.05,0.9965969327225755,0.998668331799681,0.9925316991181753,0.9964041256119758,0.9897607166139147,0.9939084822279649,0.9880403214246719,0.9905740522579755,0.9856322147181773
0.05,0.9953178217571585,0.9984104661295996,0.9931270191173924,0.9959171602522607,0.9897924514804544,0.9931125516303901,0.9869196923456132,0.988330312554723,0.9847937447230996
0.05,0.9942611822272557,0.9986109707100992,0.992775836204058,0.9963648493482208,0.9897432351858753,0.993965837392649,0.9873812996431288,0.98993129790116,0.9863459812626756
0.05,0.99642131098045,0.9986731584518785,0.9927288807355973,0.9961267531273331,0.9904190653043163,0.993060293964216,0.9880536799278085,0.9884433570301969,0.9858247908937469
0.05,0.9950071508630827,0.9987033380071645,0.9929713984808298,0.9959911650065943,0.9907139567246726,0.993691102924405,0.9889223762152785,0.9891422318333893,0.9871735562171
0.05,0.9962659708492532,0.9989664581988905,0.9927427835970701,0.9963103032428169,0.9891893588201801,0.9938198617923883,0.986387503673449,0.9892969155665355,0.9831367966492441
0.05,0.9951235953385505,0.9989774975054534,0.992630025481681,0.99605932013496,0.9893153839855138,0.9931694584501993,0.9863280792785485,0.987957412570753,0.9822440104237264
0.05,0.9970414908770682,0.9986415265858742,0.9926319245840274,0.9962287431350442,0.9899731149559593,0.9936810089737554,0.9874868083379789,0.9893289795917434,0.9831874605049756
0.1,0.9673660759843976,0.9940647914918562,0.9720320718275561,0.9858100709323262,0.9643064883387117,0.9775471342752758,0.9600894044198091,0.9636336430039536,0.9554524407383383
0.1,0.97391763094489,0.9939846475422777,0.9713289809426141,0.9848640620664596,0.9599515021852243,0.9751443054434527,0.9529897268794926,0.9594733682405218,0.9464156773543663
0.1,0.9912338759971224,0.9956196973331576,0.9725960454475724,0.9865191815254082,0.9643751938306913,0.9786900968789504,0.9569528940215318,0.9659481588552793,0.9447167319924342
0.1,0.9813854723972769,0.9953497731801182,0.970700177096568,0.9850660136347508,0.9592487104947884,0.9741623050070481,0.9518247589958981,0.9558651100137051,0.9457031070321636
0.1,0.9853568915545973,0.9934852595204312,0.9696317223097362,0.9852438246209752,0.962930058106283,0.9756622211513405,0.9596071437356054,0.9596302380300799,0.9461426455151531
0.1,0.9737069357264867,0.9949496585470505,0.9741090354900976,0.9866346869577676,0.96598752873838,0.9779227921852379,0.9615045367842694,0.9629067290929676,0.956469156615131
0.1,0.9874531942698941,0.9960065520522514,0.974365619193094,0.9875576819771724,0.9654006315983724,0.9781206059477368,0.9618879767873424,0.9602291078213699,0.9548907146469902
0.1,0.9830822147739219,0.9943175441947855,0.9740179002330805,0.984492711566401,0.9646075629732067,0.974421564177317,0.9567713563245352,0.9544475552512265,0.9445681059357232
0.1,0.975924834589189,0.9948267409316784,0.9749588851317683,0.986615807019489,0.9668375528064068,0.9772679044903974,0.9591668766776394,0.9621330728781284,0.9496671283145056
0.1,0.9868760804786032,0.9947210580044611,0.9706696258601809,0.9855942620597985,0.9618699971334006,0.9755441376055585,0.9580018839820476,0.9660318161250817,0.9519938815307546
0.2,0.873937490416486,0.9807396636791901,0.8819568778717004,0.9456386771923647,0.868913252256458,0.9105927451854381,0.8603345999103695,0.8581835576895055,0.8410945518488181
0.2,0.9329508378930441,0.9752694937517584,0.9033034078661036,0.949118026795638,0.8859780445439915,0.9243214409624607,0.8679288621035726,0.8757796520156984,0.8463031153160743
0.2,0.8540260369807161,0.9844264691802345,0.9031546230720373,0.9487911143917083,0.8709329590569859,0.9171661758363471,0.844838792120786,0.8822253890348873,0.8235401998977512
0.2,0.9260650527978769,0.9800536244086838,0.912916202637248,0.9503336508093485,0.8841103686329862,0.9205557305056333,0.8827572166079323,0.8695187439583424,0.8669266582063772
0.2,0.9372092045877098,0.9800794679666469,0.920146219621198,0.9525709322270969,0.8994427747977514,0.9257333090119105,0.8869628807689699,0.8741952827219763,0.8573670569181383
0.2,0.9019582420899126,0.982651443939391,0.9095177912114686,0.9518820618108107,0.8872125088326859,0.9208534365580427,0.8691723849468289,0.8771158483160771,0.8443916365447415
0.2,0.9419513844532666,0.977888918426662,0.9095404699446792,0.952445187209119,0.8747714597986221,0.930358058631774,0.8547049073275111,0.8715298283920261,0.8311705503021081
0.2,0.9306750704270595,0.9826182381147449,0.9114902542346652,0.9507236663378251,0.8813854940482165,0.9289977349546937,0.8565780124771343,0.8953786018013841,0.8393845812235958
0.2,0.9451454158518199,0.9785784673168846,0.8999719928346716,0.9483010296507677,0.8796333191381661,0.9126215407204763,0.8662301861143356,0.8606246689427363,0.8476127668238802
0.2,0.9240422268073258,0.9801507091405105,0.9119303379638689,0.9531751818359026,0.8828336030088652,0.9299363721275277,0.8479504292092919,0.8848338466616418,0.7929144681010101
0.3,0.9470936940467197,0.9616394272122007,0.8149894485601918,0.906890055150625,0.7567977279945055,0.848041738048104,0.735004243719891,0.7652914726289396,0.7187404244372452
0.3,0.9189887334260627,0.9597162097286516,0.7949540547009304,0.9079654703641497,0.769850764967855,0.8649276793337418,0.7810060043469225,0.8022885166177334,0.7800472031540615
