noise_level,phi_correlation,order2_correlation,order3_correlation,order4_correlation,order5_correlation
0.05,0.9971232837714562,0.9989158344044037,0.9930574891556809,0.9963489794111418,0.9914358553152222
0.05,0.996312140003813,0.9991392296857454,0.9934114696410525,0.9968554665315826,0.9917051443268307
0.05,0.9968786592191845,0.9989641836414833,0.9928790194182022,0.9964168644503847,0.99086269149347
0.05,0.9961552515494647,0.9991320722404327,0.9938913153118706,0.9964797174814914,0.9911624048473822
0.05,0.9963982015151645,0.9990729314785552,0.9937354270849618,0.9963902645070332,0.9908744577297286
0.05,0.9964591922347237,0.9990311135503803,0.9937372801611778,0.9961733721313744,0.991761319766906
0.05,0.9945263773743175,0.9990088657312916,0.9938280146216932,0.9966154485647393,0.9913946360923913
0.05,0.9956323182237425,0.9991738145679402,0.9925531427711043,0.9967323074988645,0.9907071641973838
0.05,0.9970815053657144,0.9990212699808385,0.9937714244323179,0.9964795800319824,0.9920429636142574
0.05,0.998419716777066,0.9990520545403404,0.9931837926636594,0.9965960232166166,0.991073435892335
0.1,0.9882902763706752,0.9965355974139933,0.9732528075293677,0.987157616384827,0.9658238235733715
0.1,0.9848745481312349,0.9957077330777827,0.9719770688361209,0.9873460448058174,0.9698470080888206
0.1,0.9890732972803494,0.9965029956703086,0.9744850750938657,0.9871751161620858,0.9674287374936195
0.1,0.9875027132489729,0.9966694939143101,0.9774113820467173,0.9876431088282502,0.9698839506411875
0.1,0.9821642009902233,0.9965213926052783,0.9758221317979449,0.9874518246327111,0.9676913480149544
0.1,0.9866529242754436,0.9953949420613251,0.9740362682552597,0.9877751841949274,0.9680334304154556
0.1,0.9776550053302943,0.9952486145071563,0.9757295322342736,0.9865353225344302,0.9696067072097463
0.1,0.982246620022973,0.9967885963954909,0.9763275243078595,0.9886689080062555,0.9690264682077646
0.1,0.9849940557993586,0.9951795486222389,0.9745695371523094,0.9853682385407817,0.9681807429671367
0.1,0.98695239660848,0.9966230276220991,0.9746127250350163,0.9874010967721133,0.9671916389513188
0.2,0.9680712556405905,0.9841861645938899,0.9076193860078411,0.9563891347035988,0.8906458878472724
0.2,0.9638807180361074,0.9886166485367788,0.9195296094236117,0.9559766729161822,0.8902913116965357
0.2,0.9547417161823761,0.9829468304811163,0.9022124298824904,0.952411571270592,0.8823525015070555
0.2,0.9378384112560941,0.9877481634478326,0.9031750271593953,0.954397673553392,0.8842793022836982
0.2,0.9229444125198244,0.989425680450471,0.9095126949966983,0.9568462307045051,0.8848402990898996
0.2,0.9580021463946896,0.9844171256605231,0.9249231075603677,0.9535297096452972,0.9068577179715515
0.2,0.946665575160473,0.986677325046631,0.9187734347806816,0.9557524355686713,0.8907359367667755
0.2,0.9659845285975049,0.9853437880534273,0.9044842738544098,0.9550156786424122,0.8805163255344638
0.2,0.9444587714195674,0.9850619657271414,0.9293530477618809,0.956606976764314,0.907288454452405
0.2,0.9004381956192399,0.9885105368366137,0.908548155780059,0.9534118987794589,0.8747598617729502
0.3,0.6316365870029195,0.971388092516124,0.8245316117962145,0.9189452590149574,0.7792481335534295
0.3,0.922235487337601,0.9648637776464586,0.8196269789436703,0.9148047973104985,0.7925356015787117
0.3,0.9214995981163009,0.9717848819938534,0.8114878860477206,0.9143905262219403,0.7580955336277615
0.3,0.9154927032973542,0.9635470172602727,0.8205085971852889,0.9070708103198036,0.7970258975515004
0.3,0.8856251833166179,0.9706307459030246,0.8170752788063234,0.9147387086583738,0.7882027664392892
0.3,0.8578508228212307,0.9691626694070669,0.8466770175201737,0.914049501180936,0.810272590960284
0.3,0.8767643800425124,0.9725078806434316,0.8340100894037575,0.9195975479060848,0.8075430572207373
0.3,0.8315631669937973,0.9683377147315315,0.8252364803324961,0.9196454853452328,0.8147807963129781
0.3,0.8976797156710438,0.9635059636542243,0.789647540337073,0.9036477273473075,0.7522726781275888
0.3,0.7888178511880776,0.9737409129750872,0.8239342501030715,0.9074109030120178,0.7865385079596467
