noise_level,phi_correlation,order2_correlation,order3_correlation,order4_correlation,order5_correlation,order6_correlation,order7_correlation,order8_correlation
0.05,0.9965687209192738,0.9988213655322938,0.9930546272258135,0.9962707227081633,0.9901967901441827,0.9937430317027708,0.9882744813055774,0.9897483670700334
0.05,0.99294063652008,0.9984999241222594,0.9927962280621845,0.9960965367071996,0.9904902163578897,0.9933225730498062,0.9874634792007719,0.9881069594927874
0.05,0.9893702618092626,0.9987683889502657,0.9933286024823509,0.9960169212693334,0.9902773734368238,0.9929610015584727,0.9878000209657095,0.9888940316929632
0.05,0.9944021113676175,0.9985175359001555,0.9929962887974298,0.9959944914006068,0.9902408404067775,0.993196573345601,0.9882546898504344,0.9883686449481848
0.05,0.9916813100786863,0.9989308355797264,0.9929072043477276,0.9958866757708934,0.9903463299330707,0.9933495829416531,0.988303179474099,0.9902351239037342
0.05,0.9952984349195143,0.9987317315779637,0.9932198842113245,0.9961283547909603,0.9906963754111426,0.9939174206656698,0.9891923496835427,0.9906333924615898
0.05,0.99534323141233,0.9989242523793167,0.992661492044081,0.9961849694695324,0.989563980817415,0.9936497783600494,0.9878577199220768,0.9907920804568099
0.05,0.9930475388894618,0.9988214673293844,0.9928128502115918,0.9962132804212026,0.9897185050675342,0.9933282886920525,0.9874033573462507,0.9896744105887308
0.05,0.9963929069919818,0.9988408733904481,0.9925860538181788,0.9962468097872093,0.9892090595537367,0.9940735958753095,0.9878891772679608,0.9904679412498529
0.05,0.9931497062756519,0.9989423753975316,0.9926105700044061,0.9958305002915016,0.9896720544046445,0.9928336579168693,0.9887878356094228,0.9896707751207813
0.1,0.9933949177539338,0.9934321979256732,0.9728266310145585,0.9849602155240144,0.9632185610459743,0.9776972751367524,0.9595448182283198,0.9656551778838579
0.1,0.9768987088409967,0.9951427058398452,0.9747295961137812,0.9860287506592602,0.9670124212797827,0.9746672517680678,0.9629672830174101,0.9534544252071516
0.1,0.990127462033292,0.9951914488995687,0.9735471265159317,0.9845967873867721,0.9638742263677645,0.9730086869972578,0.9570928826833421,0.9545082568919243
0.1,0.9849295182652027,0.9935972449622372,0.9709055358983799,0.9845222473736988,0.9619407959364388,0.9765381062989142,0.9536492862410094,0.9629334900977823
0.1,0.9923047898985649,0.9931252582746274,0.9716312872389709,0.9868196500780706,0.9637646868266552,0.9786994320338561,0.9583167284809148,0.9625078655723198
0.1,0.9861883340501411,0.9961350395228417,0.9713750237589502,0.9863579436040277,0.9626101566706523,0.9776203861855501,0.9607934500638756,0.9642794551359002
0.1,0.9772136562897574,0.9949051948611017,0.969532458916485,0.9851080449145517,0.9618435622156528,0.974125894083235,0.9572270500826591,0.9605643807367745
0.1,0.9839583032219545,0.9950705409037989,0.9713623146296005,0.9857191390318583,0.9637815826011211,0.9778680255855839,0.9565548076984444,0.9678486786463604
0.1,0.981445568095383,0.9959153211182322,0.9713947010311101,0.9854449656340434,0.9608319627118318,0.9760624440893212,0.9528342735277779,0.9614302048796466
0.1,0.9696952276979919,0.9954659824025569,0.9723222439902144,0.9864357058652206,0.9641068385379561,0.9759154008834977,0.9564687875611926,0.9596508163484002
0.2,0.9591246097409879,0.9849674067376043,0.9133036318348838,0.9520877170791101,0.8850785769276625,0.9199904442015353,0.8702841309332245,0.8762523982550212
0.2,0.9366157644313335,0.9796753598337642,0.9038920400705454,0.945722708565525,0.8806173054919647,0.9105714747368394,0.867697672232724,0.8541401248518686
0.2,0.964142735553872,0.9783089200166967,0.9112476799859046,0.9524549335323356,0.8949593761328399,0.9227530226490986,0.8827499087989028,0.8722000689467576
0.2,0.9613867737013424,0.9806137393105,0.9114038204952832,0.9485267992578726,0.8812939842818361,0.9214964233675098,0.8703347354844171,0.8793947213824876
0.2,0.9199550324420486,0.9808514540520774,0.9033220350810701,0.9521281585031672,0.8653606138284642,0.9176880743914897,0.8480202922794737,0.8621352719635608
0.2,0.9801936460533325,0.9789252003175649,0.9064225739102356,0.9463892635596864,0.878331610633138,0.9195357571554686,0.8682598976347715,0.8789377905203538
0.2,0.9659373298362397,0.9857506637987951,0.8963351428841557,0.951066302754226,0.8648174388045062,0.9205683174804898,0.8493500738792443,0.8752803043671844
0.2,0.9510523299601659,0.9819278956738954,0.9027604460359222,0.9481269589522724,0.8707460053106979,0.9236397083176886,0.8487725034254038,0.8862714770300685
0.2,0.9424430219799654,0.9804018328205705,0.9132942395752471,0.9439352696458025,0.8851237949637584,0.9117927772202604,0.8659728721136701,0.8679202095254259
0.2,0.9641225129422295,0.9816460923782486,0.9156469897812645,0.9505704081724385,0.8889642786857012,0.9182720836316468,0.8773166981151113,0.8741268326324233
0.3,0.9122594455728853,0.959160606478374,0.8113631420207196,0.8977382044253567,0.7729653530925565,0.8386348193160976,0.7705513142580379,0.7397905685431879
0.3,0.758669713093882,0.9595346832908833,0.7972683596473016,0.9003994609239189,0.7785718076374831,0.8461359525437498,0.7661778732176355,0.7715030172626098
0.3,0.8621870467594857,0.9664751073412795,0.8245902540214182,0.9069305399207932,0.7944903965215881,0.858866160067193,0.7743501940215163,0.7822929624221179
0.3,0.8360415325002671,0.9582601516131081,0.8281530287873351,0.9056874056834561,0.7812402735017144,0.8645016296552658,0.7399494570810395,0.8091555928336579
0.3,0.7921372744969023,0.9566172153378991,0.8042403106044793,0.8985000683309915,0.7492129962698042,0.8577650901854582,0.7108935641339441,0.7841873695294317
0.3,0.8415932156692848,0.9609747552097337,0.8324946556890882,0.9011606376107749,0.7806183844428454,0.8434359493707575,0.7511403782411928,0.769409571115092
