noise_level,phi_correlation
0.05,0.998433721773142
0.05,0.9989904451412054
0.05,0.9983952557020598
0.05,0.9974716399421567
0.05,0.9974689184312003
0.05,0.9981648538162555
0.05,0.9994635383522682
0.05,0.9987618167326134
0.05,0.9986463450118596
0.05,0.9991150527677355
0.1,0.9933862133230063
0.1,0.9952395784925996
0.1,0.993090469919374
0.1,0.9850079837638391
0.1,0.9928131943681909
0.1,0.9926151958896263
0.1,0.9942182742660495
0.1,0.9954447997701802
0.1,0.9943761570266303
0.1,0.9924562289047045
0.2,0.9850169605362519
0.2,0.9720714486937687
0.2,0.9896695488310852
0.2,0.9839944400697548
0.2,0.9870288387479957
0.2,0.9831929676149527
0.2,0.9674528915889528
0.2,0.9745581148608314
0.2,0.9700111667707442
0.2,0.9678816806789977
0.3,0.9448167643712495
0.3,0.938881823738516
0.3,0.9717170466632865
0.3,0.9780279309121439
0.3,0.9593958709332445
0.3,0.9569287567426805
0.3,0.9847382215085823
0.3,0.9433047428859599
0.3,0.957943652750606
0.3,0.9342128320485135
