dataset,accuracy_eff,noise_eff
banknotes,0.6425486044692343,0.6197745339983353
dados_covid_sbpo_atual,0.259693518265677,0.2533984541370908
diabetes,0.2934106968344596,0.2675044657304887
mammographic,0.5678171553443038,0.5554819947852777
pure_pairwise_interaction,0.11663864075663298,0.11515713232134475
raisin,0.38596850222735496,0.37904530039368045
rice,0.4336287751828145,0.4162257524431045
skin,0.8502741537276025,0.7038387785261782
transfusion,0.5061750395522823,0.49181592978166133
triplet_interaction,0.10703676404739107,0.10733203787924596
