k_value,best_accuracy,best_feature_set,best_n_features,full_accuracy,accuracy_improvement
1,0.9846827133479212,"0,1,4",3,0.87527352297593,0.10940919037199126
2,1.0,"0,1,3,4",4,0.9781181619256017,0.021881838074398252
3,1.0,"0,1,2,3,4",5,1.0,0.0
4,1.0,"0,1,2,3,4",5,1.0,0.0
5,1.0,"0,1,2,3,4",5,1.0,0.0
