noise_level,phi_correlation,order2_correlation,order3_correlation,order4_correlation,order5_correlation,order6_correlation
0.05,0.9961700009094991,0.9719994800185486,0.9803503531858269,0.9849926415241882,0.9879920023966763,0.9937528669413316
0.05,0.9991101209238328,0.9923549756759894,0.990002536968713,0.9908341596797549,0.9912574003528561,0.9962854795597856
0.05,0.9978711549642671,0.9940198042148441,0.9940050223293198,0.9942411204324643,0.9940050330504511,0.9964801949380494
0.05,0.9972225333363471,0.9934040653517949,0.990633628192512,0.9932068764873927,0.993933291144564,0.9932826808999776
0.05,0.9989106942173536,0.9910656426064591,0.9917831162356039,0.9926377210401945,0.9906919559848284,0.9950447413619927
0.05,0.997311554820478,0.9909640068761466,0.9941824690803729,0.9940049035014624,0.9922802431406167,0.995681816666144
0.05,0.9974687927485841,0.9870113855783155,0.9926633843444612,0.9941461720601568,0.9945973170703317,0.9968512128812186
0.05,0.9994858217753466,0.994393045847124,0.9946695045155381,0.9957129655170375,0.9937817654135237,0.9976093841993351
0.05,0.9981318368852097,0.9802852847930755,0.9845790943701469,0.9870439757405695,0.9869720287432006,0.9927229648250337
0.05,0.9982154958347562,0.9809162710369703,0.9841049075894046,0.9884389677918193,0.9912041588259373,0.9959222415213775
0.1,0.9925980866640962,0.9753746677423275,0.9707840895582222,0.9782174769408782,0.9777227261025185,0.9875529474325978
0.1,0.9981246591824543,0.98091995773271,0.9724813438154959,0.979694130246927,0.9819779850161485,0.9884715799417473
0.1,0.984793861221536,0.9309759471914981,0.953460455891028,0.9723856106704197,0.9750336099331405,0.9869927827801525
0.1,0.9956620591011769,0.9600632395018925,0.9644785296643574,0.9699505528448565,0.9773268872523019,0.9860671126693206
0.1,0.9894824061641674,0.9484356755985268,0.9644716456750417,0.9714634364865379,0.9728094685206989,0.9834678094111204
0.1,0.9962016765995917,0.9556986069792032,0.9705902973340442,0.9766283328261027,0.9752606793447043,0.9883169428426264
0.1,0.9838786378827731,0.9515438720568755,0.9689154824267107,0.9709062342183893,0.9679115415130516,0.9876724778727158
0.1,0.9978317168482196,0.9757890516366649,0.9736559642104284,0.972211683997748,0.9783407516988653,0.9884605133424306
0.1,0.9977154641848363,0.9840336327024628,0.9707943370492268,0.9684405176391658,0.9731454889671384,0.9833085438758263
0.1,0.998750154058158,0.9744014101866099,0.9741517385196984,0.9766999557684962,0.980597770681879,0.9899389886371228
0.2,0.9873499199466358,0.9312019238061056,0.9245220563337961,0.9282883445423294,0.9366076040386763,0.9676269244632512
0.2,0.9575660884235763,0.8373744721985932,0.8948894890496435,0.9287029657544494,0.936708343019249,0.9648463858184932
0.2,0.967093455670827,0.8810890354259817,0.9000347995684806,0.9339218622370005,0.9352731819166079,0.9682678618727195
0.2,0.9781723943116513,0.8666066639904879,0.9014696648702172,0.9230671933199857,0.926502692706711,0.9683180463149985
0.2,0.9776391273357194,0.8498914564440142,0.8850637036629319,0.9162360409671862,0.9216436410207457,0.9567242828482572
0.2,0.9884623298551929,0.8746921245240592,0.9075021304843542,0.911481780327925,0.9239618926385239,0.9613152838357368
0.2,0.9727063768592757,0.8016952628239425,0.8852260852622774,0.9117769941066394,0.9393448021606775,0.957309340613155
0.2,0.9771942354121349,0.823010049019293,0.9136487191413207,0.9391631417362876,0.9512181543629077,0.9693916787810887
0.2,0.9624840560726728,0.821201693010767,0.8879024728404531,0.9232152842908637,0.9331890956864798,0.9558987793343022
0.2,0.9571758124321974,0.8229205735419349,0.9014994962595142,0.9286224811157938,0.9177376711668167,0.9646121830411994
0.3,0.9275412712176203,0.7770722378691701,0.859955498246162,0.8779032025144848,0.894833002215411,0.9337380935262082
0.3,0.9199931049646255,0.7529844848393007,0.8027888771028088,0.8632146948461105,0.8812128056078831,0.929689275952411
0.3,0.9174861668678513,0.5586961577919423,0.7420211549863257,0.8221815898967388,0.833851676326229,0.9256159459078015
0.3,0.9650672811947947,0.8161238472162233,0.8733097610556093,0.9060170303188047,0.8924603686077731,0.9125609688062348
0.3,0.9351338374380742,0.7950525621586042,0.8184615708577606,0.8458846009198216,0.8691743003514051,0.918569422759715
0.3,0.9038335816635346,0.7405455298209893,0.8186699678366062,0.8411886452785476,0.8580271149274162,0.9266181673997387
0.3,0.9506950999714981,0.707554362694091,0.8427909864189679,0.8653075183850064,0.8551026618887799,0.923410870979822
0.3,0.9449096018024785,0.7996994163314557,0.8401868092542341,0.8287867197678829,0.8374255081427572,0.9151878443645528
0.3,0.939835976941325,0.6853343942647915,0.7680337711532171,0.8222053324268148,0.8565654523862871,0.9195645049058379
0.3,0.8883369765607062,0.6467522875467268,0.8298455823601822,0.8660384347265041,0.8787691210313671,0.9202617217126351
