Index,Interaction_Value
0,-0.06369109541130646
1,-0.05061182986887726
2,0.05261310799269163
3,0.013100469480298783
4,-0.02908755612143936
5,-0.01623761206839682
6,-0.5002515203495461
7,-0.19799980532958378
8,-0.15362663831975837
9,-0.15881812620224478
10,0.17141012801549263
11,0.290639683046607
12,0.10324953165069538
13,-0.1657404779430855
14,0.09059767695946608
15,0.08582430300696492
16,0.0490797165999748
17,-0.006280015976072294
18,0.08902615844998879
19,0.06463396082064843
20,0.1506940873106814
21,0.08538525485948964
22,-0.2977529694380902
23,0.1269415280223405
24,0.1603739244225579
25,-0.1879134084215793
26,-0.01719241651804923
27,0.0401251446837803
28,0.0601367812154031
29,0.1122404879391725
30,0.04466174110472921
31,-0.02356607903554677
32,0.3763327214110136
33,-0.06006187273118236
34,0.27740618856230626
35,0.1381506791084884
