noise_level,phi_correlation,order2_correlation
0.05,0.9999140249677367,0.9986295637691072
0.05,0.9998351078784521,0.9988961379143279
0.05,0.999797274617591,0.9968225089346663
0.05,0.9995818461730893,0.9963689825943688
0.05,0.9998506350267906,0.9983245809299385
0.05,0.9998522582562737,0.9972240262530575
0.05,0.9998350002915336,0.9984532715152128
0.05,0.9995698421475777,0.9967082916696407
0.05,0.9998582463632116,0.9983082705022489
0.05,0.9997175119776065,0.9966831337404932
0.1,0.9989631925801605,0.9879634122667229
0.1,0.9989592373672739,0.9839977041250677
0.1,0.9993191365284627,0.9866991795528058
0.1,0.9993999655324368,0.984882576070662
0.1,0.9994621490588161,0.9837575843252376
0.1,0.9980048305870411,0.9757278220561548
0.1,0.9988954707827441,0.9825250469644612
0.1,0.9994243438127611,0.9859908721058903
0.1,0.9989691041313046,0.9811950333025814
0.1,0.9991177704515162,0.9832651679129746
0.2,0.9953257589340212,0.8826134939021618
0.2,0.9916101349076746,0.8249478685355324
0.2,0.9957725875301913,0.8812761744849497
0.2,0.997412315560555,0.9450345102343871
0.2,0.9961367932334164,0.898727876342545
0.2,0.9954252132325196,0.8665897263031926
0.2,0.99563734800548,0.8941216252220698
0.2,0.9938918820555501,0.8742781028005366
0.2,0.9957573500907446,0.9013155034544595
0.2,0.9932629411255272,0.8788159571857946
0.3,0.9881975980080182,0.7556339145329676
0.3,0.9790119338612951,0.7341752512962507
0.3,0.9803835688824784,0.7064665944553166
0.3,0.9841336945307664,0.7671016214917837
0.3,0.9875194447091331,0.7620095357892293
0.3,0.9930328453772398,0.8102773540601202
0.3,0.9797915351030583,0.6886885483233083
0.3,0.9842566915627338,0.7441888738702176
0.3,0.9819058879257608,0.764211105282918
0.3,0.9878418740112016,0.7445412704016874
