noise_level,phi_correlation
0.05,0.9999964884657485
0.05,0.9999996452624222
0.05,0.9999970724006881
0.05,0.9999944477554334
0.05,0.9999983724740885
0.05,0.999990278334682
0.05,0.9999873839366139
0.05,0.9999911957558834
0.05,0.9999956792466402
0.05,0.9999984858354865
0.1,0.9999988977103879
0.1,0.9999826874413013
0.1,0.9999971576551856
0.1,0.9999864226784415
0.1,0.9999931065304146
0.1,0.9999943489326854
0.1,0.999972911582974
0.1,0.999997934676168
0.1,0.9999792974889348
0.1,0.9999893092372829
0.2,0.9999292753008756
0.2,0.999914762979449
0.2,0.9999038008526974
0.2,0.9998222086410398
0.2,0.9997667848395164
0.2,0.9999459072975706
0.2,0.9999492819066315
0.2,0.9999171622991477
0.2,0.9998544681527409
0.2,0.9998051720813768
0.3,0.9998748394724799
0.3,0.9998914011029091
0.3,0.9996340333202025
0.3,0.9999160779320926
0.3,0.9998143564405472
0.3,0.9998252277523498
0.3,0.9998391980567347
0.3,0.9998475538224441
0.3,0.9998340835457692
0.3,0.9999271466551582
