,k_value,n_params,train_time,baseline_accuracy,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,5,0.19942474365234375,1.0,1.0,0.9999982835417398,0.9997579793853364,1.0,0.0
2,2,11,0.2883033752441406,1.0,1.0,0.9999982835417398,0.9996258120993143,1.0,0.0
3,3,15,0.3488328456878662,1.0,1.0,1.0,0.9996309614740942,1.0,0.0
4,4,16,0.4156155586242676,1.0,1.0,1.0,0.9996807387636352,1.0,0.0
