noise_level,phi_correlation,order2_correlation,order3_correlation,order4_correlation,order5_correlation,order6_correlation
0.05,0.9947251912037135,0.995055825218803,0.9942827446888233,0.9906028053363344,0.9909079662312861,0.9883359619883211
0.05,0.9941090503659888,0.9938182015566713,0.9939150310227226,0.989912084144218,0.9906942647121622,0.9886562332738856
0.05,0.9977608683710272,0.9947200551062622,0.993620244077918,0.9906598781833502,0.9904011687523185,0.9885566216178312
0.05,0.9933836639239445,0.994941138996551,0.9932572672334554,0.9905693712966638,0.9899490341197218,0.9885598135075261
0.05,0.9934744508643929,0.9954952060894752,0.9943609578348261,0.9910714525027686,0.9914726590965406,0.9886818443736747
0.05,0.9939740244008707,0.9943140959546941,0.9931833489984739,0.9897232394797156,0.9907617091277205,0.9861982018631923
0.05,0.9938270754239258,0.9946018908632149,0.9938208529747135,0.9897633612199463,0.9909364729626281,0.9867745539363235
0.05,0.9939487400874256,0.9943044822458349,0.9940959027384837,0.9910362820185351,0.991155191108916,0.9888420818695798
0.05,0.9942796846956139,0.9955060498716365,0.9936087484052566,0.9909576400710627,0.99044103560575,0.9892475771530009
0.05,0.9957460698017713,0.9954071364852406,0.9935444771761428,0.9904331137335338,0.9910310729613816,0.9883427315863228
0.1,0.9662951052538048,0.9807968421672143,0.978791270329888,0.9658355836643375,0.9667092687578029,0.9581603606376582
0.1,0.9846043079202293,0.9822902934009057,0.976823648943751,0.9626789304300445,0.9650209892678825,0.9532574952050598
0.1,0.9838376292840487,0.9764981742409705,0.9793494266630124,0.9647349383280519,0.968791878118994,0.9577476947549364
0.1,0.9850952481243949,0.9804695267047709,0.9763942111696503,0.9638602764533907,0.9643548569199646,0.9553248655328962
0.1,0.9558049736816387,0.9775294342701458,0.9726179178033139,0.9640869982443756,0.9592685296472193,0.9536985722379684
0.1,0.9779979000127981,0.9785838808768414,0.9785151469419654,0.9647375897301371,0.9689328732286496,0.9587151006232433
0.1,0.9860836380792278,0.9832275736804268,0.9767516420985318,0.9622230721478976,0.9636023863784103,0.9512901498316205
0.1,0.9864162520502806,0.9825888525201639,0.9760699049891619,0.9666368171238384,0.9666665411848587,0.9579052925168576
0.1,0.9756677216813026,0.9772833524810743,0.9757437247832386,0.9641218169009909,0.9674477059987363,0.9602165011062185
0.1,0.9856639178897749,0.9825531590714739,0.9776926610255573,0.9668304308448519,0.9706658535574966,0.9622823518457383
0.2,0.9031702028799209,0.9313851211658536,0.9227385698533395,0.8774889627197223,0.8836374577830637,0.8534671090965819
0.2,0.9318150990607524,0.9213753834309687,0.9250728907191971,0.8757235151994542,0.8913643153636308,0.8577876985155745
0.2,0.9302554552438586,0.9251163980522339,0.9102729467062164,0.8833481711761768,0.8699758061430886,0.8521022066409494
0.2,0.9403605405569352,0.9414043687513812,0.9200760470794034,0.8747215599218419,0.8893946870381979,0.8488862416775651
0.2,0.9265551121362504,0.9377881974122995,0.9160457117750826,0.8841343688978276,0.883462133809779,0.867754957810565
0.2,0.9593342677432289,0.9343531702205938,0.9263842596144515,0.8855999059988192,0.8945650410431015,0.8596741916099822
0.2,0.9231879999009354,0.9497688126460022,0.915226950350269,0.8910553961868994,0.8920789600194724,0.871307307091823
0.2,0.9301785388504741,0.9242895009522933,0.9131650973728129,0.8670743688551121,0.8844407549990568,0.8523104648792851
0.2,0.9495196585709147,0.931194909534578,0.9200031256525887,0.8748333354803621,0.8982582587159662,0.8472817963271525
0.2,0.8451717574281307,0.9307617806968104,0.9142234071698537,0.8744685246133955,0.8636414046327159,0.8504306451028606
0.3,0.9100744580780648,0.8584659811495146,0.84507156621146,0.7651053706964455,0.7889889047169667,0.7343433814294384
0.3,0.886154135191034,0.8917941996913465,0.8436864547939894,0.7572588864563202,0.7717697992328764,0.7009223669302719
0.3,0.9233860353745688,0.8383523977028343,0.8275113849858997,0.7563300210759099,0.7714307132104655,0.7359180307564921
0.3,0.7914108915034633,0.8685263837401295,0.8372483733745673,0.7474965144795689,0.7916728423397957,0.7144917666441083
0.3,0.7600287775133585,0.8471746742473504,0.8304265082362461,0.7559750683489,0.7678828922182718,0.7183453789490297
0.3,0.7635069907289119,0.8716426703609345,0.8313651931434924,0.7505327472979628,0.7771159163233751,0.6785257571234679
0.3,0.912158829908812,0.8526118497398861,0.853673052237143,0.7925882890769691,0.790999142483833,0.7690692274432398
0.3,0.7798399583846091,0.8507447066744541,0.8397491201831495,0.7592633328123612,0.7681988228550144,0.7113882652896273
0.3,0.8205196943920561,0.8676718516049406,0.8241157196905146,0.7683454076389526,0.7629582494883584,0.7182644670931038
0.3,0.8880138958016639,0.854453710812049,0.8288171008767322,0.7756119901538098,0.7771455061345445,0.7290483590033805
