noise_level,phi_correlation,order2_correlation,order3_correlation,order4_correlation
0.05,0.9948172112620856,0.9958085846435788,0.994856383216624,0.991625282741778
0.05,0.9942766216366243,0.995378935197893,0.9943476969428282,0.9903732673282347
0.05,0.9984235647240854,0.9946782115883536,0.9936879020741075,0.9900105321174691
0.05,0.996854375488882,0.9948238308623965,0.9942420659721676,0.9906113200610245
0.05,0.9960456935818587,0.9965672850218377,0.9946458882668215,0.9905610994547066
0.05,0.9934594173010701,0.9968519765971953,0.9942086248198773,0.9913531335655925
0.05,0.9963485156238191,0.9959371985918337,0.9948992109972503,0.9911264239456592
0.05,0.9935062500615269,0.99749326217809,0.9942064526603627,0.9907078366064329
0.05,0.9927215526869224,0.9947808763889274,0.9942701532865753,0.9912519152526321
0.05,0.9963253139911364,0.9944308256703946,0.9941302834554513,0.9907712034844457
0.1,0.9846656808723495,0.9849267926932487,0.9789464184741192,0.9650316608626754
0.1,0.9876143471513057,0.9881787256460973,0.9796972458428923,0.968689298717514
0.1,0.9915132711104451,0.985072064293931,0.9764096604635775,0.9656734137129853
0.1,0.9753765302045281,0.9860730096374374,0.9782091350401827,0.9669858469434863
0.1,0.9761767783754453,0.9829947648689757,0.981302956864755,0.9698259671609968
0.1,0.9874099287897928,0.9823137805308303,0.9756687205242087,0.9681064379766977
0.1,0.9899211008405898,0.9781849768514415,0.9776743385056722,0.9667198350576204
0.1,0.9876621444388859,0.9816521637812381,0.9797189015795859,0.9674170645797769
0.1,0.9903432263589198,0.9829548411607764,0.9782621175255589,0.9674308560511355
0.1,0.9835079473813114,0.9810063212798916,0.9779929625978098,0.9681022778853907
0.2,0.8593041889612931,0.9375217759573796,0.9195228466210807,0.8815125296200812
0.2,0.9366285877156019,0.9443850181561779,0.9269489742825622,0.8942033725573938
0.2,0.9461145397327057,0.9515866387134813,0.9143040527911109,0.8932108235720204
0.2,0.9012761869530905,0.9344835098330806,0.912802299853807,0.8724276193652891
0.2,0.949115340567263,0.9495919066022063,0.928700634700507,0.8898587681978223
0.2,0.9565612062695246,0.9429481006161479,0.9237979906395344,0.8795403547541533
0.2,0.9463293844992429,0.938600521653529,0.9234100097193817,0.8766955331445287
0.2,0.9525671859211858,0.938665386582777,0.9205655486569153,0.8790733166434681
0.2,0.9205605385214314,0.946106627402183,0.9270442112732395,0.8885590743770468
0.2,0.9775100711671286,0.9373432802421743,0.9202759957599848,0.8790118906996112
0.3,0.8925918105627773,0.8587568511906186,0.8461984720463197,0.7803912118642291
0.3,0.9530665566825068,0.8903001754907315,0.8507237596154271,0.78529921543408
0.3,0.89552099888672,0.850529540084199,0.842554971486532,0.7610618394187263
0.3,0.7394018906785503,0.8765579807840406,0.8502717453942289,0.7973279056285877
0.3,0.8974201799444866,0.8803201798074695,0.8359236102984307,0.7740241629279592
0.3,0.6343059602638709,0.8778280713473814,0.85499223935059,0.7811374511454102
0.3,0.7963131681830168,0.897930735194482,0.8525649365955824,0.7869934771941708
0.3,0.8824382680920223,0.8940998088357406,0.868201338882558,0.7917299409133056
0.3,0.8894061124342361,0.8597074036559126,0.8498800841505955,0.7856358855392552
0.3,0.8859329951381787,0.8773715946548585,0.829099475679801,0.7910446327569222
