,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,shapley_stability,order2_stability,order3_stability,order4_stability,order5_stability,order6_stability,order7_stability,order8_stability,order9_stability,order10_stability,order11_stability,order12_stability,order13_stability,order14_stability,order15_stability
1,1,16,0.001003265380859375,0.52,,,,,0.9882679853296285,,,,,,,,,,,,,,
2,2,121,0.0030183792114257812,0.5166666666666667,,,,,0.9877467596266205,0.9514947674040395,,,,,,,,,,,,,
3,3,576,0.02700042724609375,0.54,,,,,0.9470645714945256,0.9490363553925244,0.9356138665461486,,,,,,,,,,,,
4,4,1941,0.14172124862670898,0.56,,,,,0.9404833660764104,0.9493685883572236,0.9356290079227154,0.9062778419815078,,,,,,,,,,,
5,5,4944,0.5751464366912842,0.5466666666666666,,,,,0.9293484562024941,0.9480260112931822,0.9318818381829332,0.9063276217048393,0.9057891031409534,,,,,,,,,,
6,6,9949,2.0836172103881836,0.5433333333333333,,,,,0.935183445309103,0.9419715310097208,0.9312828152481323,0.8991857854735213,0.9047048266572504,0.8805528406219089,,,,,,,,,
7,7,16384,6.104669570922852,0.53,,,,,0.9418558008591593,0.942171555019186,0.92910815548519,0.9011285570514631,0.9037865452158522,0.8826380363032357,0.8790120959052148,,,,,,,,
8,8,22819,14.234816789627075,0.5266666666666666,,,,,0.9333380148067463,0.939041390207715,0.9261729109957839,0.8986195473036994,0.9008433177461733,0.8822965402875629,0.8778174199916607,0.8636794782193236,,,,,,,
9,9,27824,27.144082069396973,0.53,,,,,0.9407908103909965,0.9360582714344036,0.9278189568388934,0.8993493884105639,0.9022623459521084,0.8832132663845861,0.8773999235362799,0.8611657963766396,0.850495284677234,,,,,,
10,10,30827,43.8964581489563,0.5333333333333333,,,,,0.9332116050502139,0.9383863304747041,0.9273421441464387,0.9000500878094875,0.9036821488596104,0.8830521555153361,0.8811052773651976,0.8660101256812366,0.854006535985528,0.8375025039419801,,,,,
11,11,32192,58.95289707183838,0.5333333333333333,,,,,0.934641283492393,0.9361363718283737,0.9277845699239251,0.8992145078464817,0.9029844144388891,0.8851379431768679,0.8787514484942411,0.8669374209343634,0.8513747778273271,0.8339119371343479,0.840825945487133,,,,
12,12,32647,68.19661736488342,0.5333333333333333,,,,,0.9293459279360544,0.9346761109133178,0.9275329259447489,0.8974094780844872,0.9017914914554012,0.8825779430831683,0.8767335348437684,0.8670232071242467,0.8510598269669836,0.8379888118899237,0.841628866598896,0.7932107170736095,,,
13,13,32752,73.00563311576843,0.5333333333333333,,,,,0.9339508848979778,0.9375437032663658,0.927856879595985,0.8981888354654786,0.9014586499433511,0.8807747219917639,0.8760367562333191,0.8643337502230388,0.8489502458051159,0.8348819870210646,0.8370315459635165,0.7869505077530212,0.837117520774457,,
14,14,32767,75.53353357315063,0.5333333333333333,,,,,0.9419149938145239,0.9380374234311871,0.927981631021914,0.8987627401898566,0.9027776079006918,0.8836237661223002,0.8787242658193634,0.868468019467477,0.8576989477505244,0.8436713626919841,0.8565677789764532,0.807116677902884,0.8677541871258467,0.7510430115867195,
15,15,32768,75.0813467502594,0.5333333333333333,,,,,0.9392240273502326,0.9372598482720046,0.926678215921589,0.8986075362881404,0.9008257540634872,0.8814828010620606,0.8766168187128854,0.8621534421336218,0.8498262394667908,0.8259924504503189,0.8358572284653415,0.7658609858339404,0.83692798126482,0.6794213111900251,
