noise_level,phi_correlation,order2_correlation,order3_correlation,order4_correlation,order5_correlation,order6_correlation,order7_correlation,order8_correlation,order9_correlation,order10_correlation,order11_correlation,order12_correlation,order13_correlation
0.05,0.9931426352678417,0.9944033855928412,0.9933627740968909,0.9898992543178947,0.9904574908562412,0.9872397682439745,0.9871316165795079,0.9857239170841864,0.9838041774167802,0.9835878226425668,0.9839918984328608,0.9757557802520287,0.9876143444999691
0.05,0.9954371013847592,0.9935800984690247,0.9937971014976014,0.9896771892599177,0.9904414080314493,0.9878608157110786,0.9874192605579559,0.9857777408950997,0.9854074944406686,0.9807808446420312,0.9851333093523988,0.9722821397343433,0.9863723285862612
0.05,0.9943975650367186,0.9944335324123198,0.9935628936796471,0.9903468534709573,0.9901907635460822,0.9888492037984417,0.9872838534576821,0.9872271317517687,0.9846618332129378,0.9836534346157356,0.9847759993967617,0.9777210597222294,0.9872729172402412
0.05,0.990178075229827,0.9944458638953512,0.9931731807606495,0.9894317330216433,0.9901053554608343,0.9888438631484048,0.9875653911835324,0.987415938284363,0.9856876510565252,0.982205285721243,0.9859127082542187,0.973278833628465,0.9872503031810843
0.05,0.9968783276360983,0.9960492203300381,0.9936862679856481,0.9910613605143052,0.9901157010684019,0.9884649194607519,0.9863663824300206,0.9848759069756859,0.9827853055461404,0.9768850566729547,0.982992694503751,0.959235627310374,0.9861147472291173
0.05,0.9969308666910185,0.9950633033265112,0.9937149798248406,0.9902444351740967,0.9898536053456435,0.9879382067889916,0.9866444489535932,0.9850955527518966,0.9853383829380917,0.9798882743182553,0.9879606954696106,0.9700991339935264,0.9918050739491739
0.05,0.990680519231279,0.9939344378701039,0.9936250759388491,0.9900829289990716,0.9905062927407429,0.9883561975136156,0.9873560621499862,0.9853159404378494,0.9849488185630889,0.9798063668748388,0.9839731895519945,0.9755667637765121,0.985359455525917
0.05,0.9961677083424509,0.9944133599240955,0.9937902483429444,0.9899720331442143,0.9906703920703338,0.9872416686441815,0.9878840969020435,0.9847844971701327,0.9855612871086014,0.981824666477081,0.9853852783371674,0.9771358967272726,0.9871356736732559
0.05,0.9933068414643482,0.9938525489107982,0.9932550064176769,0.9903872524680236,0.9901679009367504,0.9887956166169618,0.9877428353547415,0.9873047360658828,0.9847054525994349,0.9847536188672732,0.9832804052639237,0.9815658793340108,0.9861272358484069
0.05,0.993604267767468,0.9941659667253109,0.9940811135526906,0.9900983424458407,0.9912236689813281,0.9877924382258686,0.9878515310588645,0.9845827273985914,0.9830265824687415,0.9777371666335707,0.9825888221713796,0.9651608444770359,0.9874757915440422
0.1,0.983793466795187,0.9818364917596045,0.972880747356388,0.9613429430353775,0.9629099529780585,0.9529531424924631,0.9526389423599383,0.9415158605994862,0.9406937849105892,0.9182715573822222,0.9351642919504006,0.8875759455527302,0.9410393787109301
0.1,0.9843212616807989,0.9849935961245811,0.976378161722936,0.9631770446908331,0.9663987124412833,0.9560117788022073,0.9576983143601505,0.9511306262383544,0.9469471986985367,0.9447707810920438,0.9423906226975939,0.9374275627076676,0.9442619401025489
0.1,0.9755997015732016,0.9763632495243729,0.9757117827296212,0.9642719284238214,0.9639528888576742,0.9560005222472888,0.948136526103616,0.9445631956912883,0.9275970641668099,0.9220263053857864,0.9197759467642288,0.8867289713073176,0.9339430837775604
0.1,0.9876303811928113,0.9823058034266762,0.9741092346361573,0.9654117326263931,0.966035815460829,0.9605627160035002,0.9571890939966706,0.9602611824815516,0.9459275394459151,0.9568686680278897,0.9454842139306151,0.9374678393886487,0.955110904624207
0.1,0.9740751541529425,0.9845361408512965,0.9738820968303555,0.9650984637158009,0.963132772435466,0.9556869728534609,0.9544730507833412,0.9457553627470104,0.9459973111567117,0.9272139601864794,0.944454951143906,0.8996513292953336,0.9466812731442784
0.1,0.9853901362463322,0.979441293144609,0.9733968592369376,0.9594481252032848,0.9611351520318289,0.9548454399730526,0.9493630630913816,0.9465228615905491,0.9329885536245341,0.9176467044671603,0.9206729636864593,0.866165101133779,0.9183536060751868
