noise_level,phi_correlation,order2_correlation
0.05,0.9994558207428764,0.996647587687155
0.05,0.9991186108362422,0.9965459557612635
0.05,0.9994806068098765,0.9954378829034775
0.05,0.9985383325200671,0.9959587195833582
0.05,0.9992278050729498,0.9966100400964812
0.05,0.9988010571455783,0.9963798265526519
0.05,0.9991270614609488,0.9962762973114142
0.05,0.9994732315301822,0.9958719582688391
0.05,0.998797176352398,0.9946780270084026
0.05,0.9986596318401372,0.9954446707463439
0.1,0.9944172408374033,0.9834952813727437
0.1,0.9980673061738873,0.9867509366522632
0.1,0.9949718433422649,0.9794545674478878
0.1,0.9946213265600787,0.9871504140830999
0.1,0.9963794651775818,0.9853823792011227
0.1,0.9969255871292079,0.9815372722383107
0.1,0.997679665692635,0.9845863425365824
0.1,0.9939958186635266,0.9842243363196956
0.1,0.9973001621879503,0.9885437766014914
0.1,0.9956614458290421,0.9874900888695104
0.2,0.9905812670637044,0.9614069130005708
0.2,0.9793253927648851,0.9378816688932392
0.2,0.9880114741244201,0.9272003987979246
0.2,0.9901006285658839,0.9448813817023654
0.2,0.9851712630865764,0.9569087902937892
0.2,0.9912703792039829,0.9372376199786864
0.2,0.9743417048807387,0.9372476010799314
0.2,0.9903755652694711,0.9493900828967512
0.2,0.9859558111464043,0.9438467783906096
0.2,0.9749147519910576,0.9296065675637741
0.3,0.9798830613618251,0.9003644212554338
0.3,0.965577146461601,0.8513923591869429
0.3,0.9576965615553222,0.8840297779417253
0.3,0.9856078027162262,0.892777583943067
0.3,0.96393664865993,0.8640648735133429
0.3,0.9761723726026204,0.8987058842846106
0.3,0.9657723303274808,0.8789544051650109
0.3,0.9698643622970929,0.8909759345669084
0.3,0.975256169312385,0.8815917812742662
0.3,0.9693564957683797,0.8828595111905363
