,k_value,n_params,train_time,baseline_accuracy,noise_0.1,noise_0.2,noise_0.3
1,1,6,0.051434993743896484,0.9890590809628009,0.9855579868708972,0.9671772428884026,0.9409190371991247
2,2,16,0.09561395645141602,1.0,1.0,0.9916849015317288,0.9663019693654267
3,3,26,0.14271855354309082,1.0,1.0,0.9982494529540482,0.9833698030634572
4,4,31,0.1633458137512207,1.0,1.0,1.0,1.0
5,5,32,0.16453242301940918,1.0,1.0,0.999562363238512,0.9978118161925602
