noise_level,phi_correlation
0.05,0.9999042762426666
0.05,0.9998852080403736
0.05,0.999945306368688
0.05,0.9999706606070726
0.05,0.9997926321850197
0.05,0.9999428617191786
0.05,0.9999440646489364
0.05,0.9999662360458262
0.05,0.9998947048011377
0.05,0.9999341615612245
0.1,0.9998775833760636
0.1,0.9997675659590689
0.1,0.9997835709529743
0.1,0.9997399953879716
0.1,0.9997440506446937
0.1,0.9995005345041669
0.1,0.9998309892904141
0.1,0.9994930372559913
0.1,0.9991840650546728
0.1,0.9996841158171623
0.2,0.9978861916999705
0.2,0.9966729130007645
0.2,0.998897183455682
0.2,0.9947764737922565
0.2,0.9976301947195324
0.2,0.9987191808902354
0.2,0.9998217188214379
0.2,0.9987692590409942
0.2,0.9990503433750745
0.2,0.9985477963131074
0.3,0.998707167004858
0.3,0.9962744223386714
0.3,0.9996745902042409
0.3,0.9998080995566063
0.3,0.9921622161965189
0.3,0.9920706553554963
0.3,0.9906444761363679
0.3,0.9973042637632267
0.3,0.9973591831432878
0.3,0.9974064513401433
