noise_level,phi_correlation,order2_correlation
0.05,0.9995863479175793,0.9994140127939127
0.05,0.999893034120994,0.9993792414147243
0.05,0.9998174087529459,0.9991752777630994
0.05,0.9999461492455943,0.999175261776465
0.05,0.9999214579708066,0.9994597113908943
0.05,0.9998750741649303,0.9993459443571785
0.05,0.9999379066637418,0.9992701367906013
0.05,0.9993494594122638,0.9991637148209923
0.05,0.9997571955254841,0.999093173897115
0.05,0.999511094361788,0.9991660653599506
0.1,0.9985414568465532,0.9958473517240685
0.1,0.9993417505784222,0.9980354775063018
0.1,0.9982394114506667,0.9956543789867952
0.1,0.9986326469561569,0.9974431817293347
0.1,0.9979374453306554,0.9946739227141925
0.1,0.998998955969306,0.9986335728189939
0.1,0.9995497625543047,0.9972186896607454
0.1,0.9983426704179427,0.9948399778167019
0.1,0.9991970618147631,0.9950584707060477
0.1,0.9988300006992613,0.9978668522030598
0.2,0.99593487941159,0.985274722824319
0.2,0.9958957904286806,0.9886507737752939
0.2,0.9990782100460538,0.9789148448344968
0.2,0.9870489000491687,0.9877037700230213
0.2,0.9955603528461655,0.9898641309203297
0.2,0.9939294035650734,0.9895788284183299
0.2,0.9903229935547095,0.9871089555710378
0.2,0.99572296212313,0.9857810065912379
0.2,0.9956825863927848,0.9915237073435127
0.2,0.995656227491549,0.9914065727421159
0.3,0.9883974099092467,0.9784113780637782
0.3,0.9927354606398515,0.9683979252759526
0.3,0.9848203615771977,0.9690925252027246
0.3,0.9798112991412717,0.9660431304824663
0.3,0.9926556016941352,0.9553380010973554
0.3,0.9937759171477387,0.963138386540218
0.3,0.972932216763037,0.9636443638542473
0.3,0.9838858889365927,0.9705703930851957
0.3,0.9710773967248996,0.9802904327608991
0.3,0.9799812523956012,0.9802209493882554
