noise_level,phi_correlation,order2_correlation,order3_correlation,order4_correlation,order5_correlation,order6_correlation
0.05,0.9995317077843956,0.999150210710062,0.998009451564346,0.9980113051915837,0.9968803053718021,0.9969387948735927
0.05,0.9996878651340327,0.9990705347087108,0.9972906196160454,0.9980902162096263,0.9962499713248304,0.9962782676309442
0.05,0.9998793287442724,0.9993205113966694,0.9979829243866275,0.9987096544378473,0.9970253164074948,0.998010620054504
0.05,0.999737386699381,0.9990285142856857,0.9978287351517804,0.9989120909610483,0.996891418372131,0.9979369897843513
0.05,0.9997449220880672,0.9993270082819936,0.9975260322243544,0.9984823558943617,0.9939157726550173,0.9957118910948453
0.05,0.9996867573601497,0.9989117686713174,0.9976485665572516,0.9984900783846962,0.9969225069557316,0.9978709059234421
0.05,0.9996037583428424,0.9992566827056297,0.9977107792385791,0.9985799720070194,0.996630905949479,0.9963328826298203
0.05,0.9996932772338635,0.9994939628333228,0.9985078389677573,0.9988488885645915,0.997348444609478,0.9975504582150151
0.05,0.9994428914886452,0.9985042924125226,0.9965805523935373,0.9973588652619864,0.9940126667071496,0.9955108487310457
0.05,0.999356682999211,0.9990790550857018,0.9969486163224377,0.9978572939279167,0.994300739733343,0.9958843584289895
0.1,0.9993788554005008,0.9974814072828091,0.9922908420117026,0.9959462412981589,0.9869122925211914,0.9934985438779932
0.1,0.9988583470805138,0.9950367590720542,0.9883402640697819,0.988736368731117,0.9838144679792936,0.975215300251933
0.1,0.9961078853698061,0.9952563670592494,0.9909563460646138,0.9922647542298391,0.9880011310661574,0.9827506076355805
0.1,0.9991442562920714,0.9970220731547177,0.9902108095023601,0.9948273455081273,0.9784774080073332,0.9891423646537534
0.1,0.9988523953544376,0.9966313409878417,0.991072720097185,0.9937159777630904,0.9874593178096202,0.988387918186744
0.1,0.9975705434535979,0.9965328292331292,0.9893740577560873,0.9943103623868782,0.9921738670110056,0.995690617809993
0.1,0.9980565781973356,0.9966733415152553,0.994582258620903,0.993575827422141,0.9884437555999283,0.9880291450867619
0.1,0.9991779179545269,0.995861261915163,0.9878232142673213,0.9922544445017423,0.9823883093131744,0.9858283827025072
0.1,0.9971770366551519,0.9970709893952172,0.9902115943936189,0.98988606173453,0.9856334192346702,0.9799879065589583
0.1,0.9987077015592883,0.996466297585305,0.9920038765057945,0.9952155426228582,0.9855109061159167,0.9921099850729369
0.2,0.986239105198829,0.9810295546914638,0.9674579905445819,0.9771750770818848,0.9705364664777066,0.9635722419834494
0.2,0.9966953365239024,0.9885006177439708,0.9714652946710611,0.9696341781428527,0.9482395849569748,0.9390959575734554
0.2,0.9959008009264428,0.9863950060283091,0.9718483443481151,0.9824203012083796,0.9483921681611377,0.9629346934035875
0.2,0.9931276909695838,0.9904703607729461,0.972966428211231,0.9825106490508857,0.9649849365218904,0.9759315946444099
0.2,0.9971925282370289,0.9874232394648726,0.9650538283173005,0.9739508473952747,0.9170508078963043,0.9356183111878466
0.2,0.9937383696768247,0.9851423636098513,0.9705719965739646,0.9714368264504859,0.939512537574647,0.9442856142618793
0.2,0.9949023279898423,0.9912465516210845,0.982976515578335,0.9862349316576886,0.9640418188747031,0.9733934255414946
0.2,0.9976294758233282,0.9828633039487086,0.9531148034417174,0.9741632684644573,0.9534099098754498,0.971851326578774
0.2,0.9970047631851677,0.9911377994869786,0.9738099384557531,0.9774997287979821,0.956981361083773,0.9369152811346078
0.2,0.9922237901612087,0.9843277933932852,0.9686798895717691,0.9746994536659532,0.943384949642997,0.9587891542059678
0.3,0.9860765211081229,0.955758315972468,0.9489833037641684,0.9439683971146059,0.9412866586795273,0.9300467386325403
0.3,0.9930508012686357,0.9747650909035785,0.9390548751058687,0.9451576705819057,0.8651326094128325,0.879462664625512
0.3,0.9701392092410493,0.9539489369712209,0.9461289831850227,0.9176511532294203,0.8616853211938421,0.8466615910126073
0.3,0.9841225967800632,0.970974237028656,0.9550824476437187,0.9576839180633444,0.9237601237179408,0.8952546282820365
0.3,0.9883694682563344,0.9715243655009557,0.9368591367655992,0.9466576612571279,0.8940419892534992,0.9066503507728315
0.3,0.9894160687203156,0.9733071587305429,0.9447115231775002,0.9608308499687955,0.9346016567491505,0.9397800618331299
0.3,0.9925101080362912,0.9778997777815943,0.9513369452123862,0.9716454729318615,0.9387819172265605,0.9653160011226832
0.3,0.9870517140754409,0.9728657831723568,0.9216262016608696,0.9672974349575031,0.854931227473491,0.9277625719895883
0.3,0.9883187757249459,0.9562971182065396,0.905653616367047,0.9335642597215342,0.8440581538520986,0.8858729690512664
0.3,0.9744062134333736,0.9595773603105807,0.9277735100860134,0.9415706035534317,0.9040249841500113,0.900197294788891
