noise_level,phi_correlation,order2_correlation,order3_correlation,order4_correlation,order5_correlation,order6_correlation,order7_correlation
0.05,0.9999889132242912,0.9995081630398109,0.9978203677865689,0.9984665078247862,0.9965251220300729,0.9975819625202891,0.9959735503007139
0.05,0.9997866546187181,0.999532187018749,0.9981376273081249,0.9987990875678808,0.9964145839469373,0.9972046454438992,0.993794107953774
0.05,0.9987043306974851,0.999266857100566,0.9976440015893363,0.9985556092043099,0.9969206775001698,0.9983526630177441,0.9978822715075809
0.05,0.9998092955057706,0.9982186716936333,0.9964870059619575,0.9978587314525585,0.9958893864133024,0.9962702289547154,0.9926278564494743
0.05,0.9998054937762499,0.9993727684734122,0.9975434667741669,0.9981227443617411,0.9970663533040036,0.9948599849216675,0.9961428121905229
0.05,0.9989850709217968,0.9987114530289938,0.9971957070113012,0.9982349265840955,0.995793964900943,0.9969084172381092,0.9920007210395254
0.05,0.9998230726315286,0.9992634835882255,0.9977352373594228,0.9979308583569142,0.9956008427672984,0.9946883409676552,0.9910414394950885
0.05,0.999058516606805,0.9985143757051039,0.9975195787397783,0.998099614226892,0.9969995834982315,0.997612246884651,0.9948018472458354
0.05,0.9998190373712856,0.9991133663293312,0.9976742141519067,0.9979708692722629,0.9969923538085443,0.9937952248371419,0.9945674417235497
0.05,0.9998113931574542,0.9991060375577294,0.9971039614691543,0.9981947553475132,0.9953188497908856,0.9981465492883039,0.9903241704923487
0.1,0.9976881057253744,0.9970232554710781,0.9906788372231087,0.994886257281251,0.9920526249867859,0.990187341457436,0.9927091746134528
0.1,0.9983440971886031,0.9973377706863447,0.9947441505990963,0.9954306036930288,0.9880352257524612,0.9886419709385277,0.9741174482234014
0.1,0.9987535818011054,0.9964962528914242,0.9908332726101217,0.9953586508387895,0.984537559664758,0.9929767337769899,0.9743857093601405
0.1,0.9952769957028413,0.9969527584826438,0.9899705144923816,0.9937123412622361,0.9835784432647532,0.9853699417947217,0.964384930573946
0.1,0.9971223183077679,0.9973470173385687,0.9928797334558742,0.9929115746343713,0.9884780509893476,0.9822507038802442,0.9843339911223635
0.1,0.9991601578469889,0.997590695199286,0.9941790944706775,0.9956986165304356,0.992183064536993,0.9931679262591838,0.984945339840646
0.1,0.9973209869306484,0.9954198362765936,0.9889590113940671,0.992002218522499,0.9799754853425806,0.9822350236717883,0.9382463199875103
0.1,0.9987015391606876,0.9965417502363887,0.9924571119437413,0.9946031119941571,0.9880633257618976,0.9915726777576527,0.9624599975545884
0.1,0.9981032128694476,0.9959477513274806,0.9939808247820455,0.9939721356109255,0.9911373126462725,0.9895358135682467,0.9901653462665378
0.1,0.9980029485507474,0.9968417511437097,0.9932681878713746,0.9953566672174229,0.9945660072246815,0.9913627221441984,0.9922245783543735
0.2,0.9905932570602813,0.9814657697130824,0.9571588388015638,0.9777289310775721,0.9692904587183158,0.9757934751217137,0.9615684429208913
0.2,0.9852252054145453,0.9796312404117368,0.9593249069524878,0.9684021614358491,0.9479773112471903,0.9367245983535344,0.8924127412677366
0.2,0.9904924475507004,0.974066636668227,0.9479359719223338,0.9682221543119619,0.922428540659408,0.9442407597347713,0.9009242245468246
0.2,0.9925097198333135,0.9810628216596544,0.968680438404446,0.9766652028986943,0.9670008096761983,0.9768193018733784,0.953883537938639
0.2,0.9945271586732964,0.991854478426544,0.9700959167412493,0.9804078002935823,0.9549697749770996,0.9775197554730516,0.9143724216447182
0.2,0.9936430088625788,0.9867202054839891,0.9727230653901519,0.9769994968973651,0.9608659504152635,0.9607342906035309,0.9125383865069501
0.2,0.9838728373322524,0.9828250741721143,0.9642314787813487,0.9690169725242149,0.9494764963024885,0.9375522772432607,0.8718084676616024
0.2,0.9866871486974576,0.9906298933003025,0.973059417477103,0.9877070955266105,0.9754823761320726,0.9845547040218859,0.9849967643958736
0.2,0.9907069329053679,0.9850929868935652,0.9644664497842,0.9821607914948557,0.9572242211655861,0.9661184703816862,0.9487155583711212
0.2,0.9944669072121034,0.9825074271384122,0.9660918461081768,0.9661834590280338,0.9468930090913368,0.93906061705085,0.752314184915199
0.3,0.9873586128098615,0.9614136535328375,0.9433440844499986,0.9623594884694914,0.9250026068029819,0.9581276913195531,0.9178552018736307
0.3,0.984232405102484,0.9532496558825257,0.9187103068146295,0.9270851920996696,0.8280402180162016,0.8931004546414021,0.4388120096140753
0.3,0.9916683015314105,0.955714209857668,0.9315171734307519,0.9443172112625603,0.9226114524950366,0.9110669187422828,0.8274759160326811
0.3,0.9885417243860191,0.9769769028491336,0.9358836201521201,0.9549859927609602,0.907857160144127,0.9415980940675936,0.8973133087908393
0.3,0.9761646357149638,0.9387333397921616,0.9440693503735809,0.9004870707464034,0.9162517533227038,0.833490040363592,0.888338865636631
0.3,0.994273093393547,0.9729418742444899,0.9300154949325219,0.94732966499635,0.8855777345579351,0.9480354847951643,0.8590218829690236
0.3,0.9973931506784981,0.9614936558582058,0.9356759068930456,0.955257260231303,0.9304864490021165,0.9576895180772574,0.9275209061114199
0.3,0.9728360112839232,0.971692207887164,0.9358775451718581,0.9512430599114854,0.9129363378461742,0.909189311384044,0.8866328343416819
0.3,0.9813001522985251,0.9700430559352925,0.9412711604410912,0.9600046607380951,0.8910129278515516,0.9156754217940404,0.8125487771837566
0.3,0.9850606357126571,0.9760080579222359,0.9388696490568929,0.9644085338521896,0.8768834581880238,0.9296903604955654,0.5835291106834678
