,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3
1,1,8,0.0342252254486084,0.8592592592592593,0.8525925925925926,0.8518518518518517,0.8088888888888889,0.7844444444444445
2,2,29,0.08899760246276855,0.8555555555555555,0.8525925925925926,0.8244444444444445,0.777037037037037,0.7437037037037036
3,3,64,0.17055511474609375,0.8518518518518519,0.8511111111111112,0.8311111111111111,0.785925925925926,0.7362962962962963
4,4,99,0.30334973335266113,0.8518518518518519,0.8437037037037036,0.8325925925925926,0.7851851851851851,0.7548148148148149
5,5,120,0.30020952224731445,0.8518518518518519,0.8496296296296297,0.831851851851852,0.7911111111111111,0.757037037037037
6,6,127,0.3410508632659912,0.8518518518518519,0.8481481481481481,0.8348148148148148,0.7903703703703704,0.7748148148148148
7,7,128,0.3237767219543457,0.8518518518518519,0.8414814814814815,0.8333333333333334,0.802962962962963,0.7585185185185186
